,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.62,1.0,0.26,0.72,0.29,0.12,0.05,0.04,0.09,0.29,0.72,0.89,0.49,0.45,0.48,0.98,0.01
avisynth2.csv,1.0,0.0,0.75,1.0,0.0,0.13,1.0,0.0,0.0,0.67,0.0,1.0,0.6,0.0,0.0,1.0,0.0
bigdata.csv,0.77,0.6,0.29,0.76,0.48,0.12,0.05,0.01,0.1,0.38,0.64,1.0,0.55,0.5,0.41,0.96,0.01
dsworkbench.csv,1.0,0.8,0.29,0.76,0.5,0.12,0.09,0.02,0.06,0.37,0.93,0.86,0.0,0.5,0.33,1.0,0.0
foursquared.csv,0.88,0.68,0.33,0.86,1.0,0.17,0.2,0.0,0.4,0.36,0.71,0.89,0.25,0.83,0.59,1.0,0.09
geotools.csv,0.83,0.65,0.36,0.67,0.29,0.18,0.03,0.0,0.22,1.0,0.78,0.93,0.53,0.55,0.35,1.0,0.0
gephex.csv,0.76,0.59,0.29,0.73,0.34,0.16,0.0,0.03,0.15,0.41,0.99,0.91,0.3,0.49,0.47,0.98,0.01
jgossipforum.csv,0.82,0.0,0.0,0.0,0.45,0.18,0.0,0.83,0.0,0.37,1.0,0.93,0.58,1.0,0.0,1.0,0.0
madman.csv,0.0,0.62,0.6,0.71,0.5,0.12,0.0,0.0,1.0,0.28,0.58,0.94,0.5,0.73,0.2,0.97,0.0
pokenetonline.csv,0.78,0.71,0.38,0.98,0.5,0.2,0.14,0.05,0.19,0.41,0.66,0.88,0.39,0.67,0.5,0.99,0.0
qmmp.csv,0.78,0.63,0.4,0.74,0.48,0.14,0.07,0.08,0.22,0.3,0.65,0.89,0.35,1.0,0.44,0.97,0.02
rcp-company-uibindings.csv,0.75,0.57,0.31,0.73,0.35,0.12,0.05,0.02,0.15,0.29,0.64,0.89,0.52,0.55,0.46,1.0,0.01
simplewebservices.csv,0.78,0.58,0.26,0.73,0.31,0.17,0.0,0.03,0.15,0.32,0.68,0.87,0.25,0.6,1.0,0.98,0.01
t-2.csv,0.7,0.59,0.31,0.71,0.44,0.98,0.0,0.0,0.17,0.12,0.65,0.9,0.43,0.57,0.42,0.97,0.0
wsmt.csv,0.6,0.52,0.26,0.72,0.55,0.06,0.0,0.0,0.3,0.19,0.65,0.8,1.0,0.52,0.46,1.0,0.05
yarp0.csv,0.81,0.5,1.0,0.61,0.22,0.5,0.0,0.04,0.05,0.23,0.7,0.86,0.59,0.36,0.3,1.0,0.0
