,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.41,0.85,0.17,0.45,0.71,0.71,0.53,0.27,0.54,0.81,0.03,0.67,0.89,0.61,0.5,0.99
echongl.csv,0.17,0.79,0.16,0.6,0.85,0.75,0.53,0.22,0.42,0.99,0.0,0.77,0.19,0.6,0.39,0.61
findbugs.csv,0.33,0.6,0.26,0.35,0.47,0.42,0.26,0.21,0.46,0.61,0.0,0.35,0.2,0.46,0.96,0.55
google-web-toolkit.csv,0.11,0.63,0.19,0.54,0.21,0.27,0.13,0.4,0.46,0.78,0.04,0.59,0.34,0.99,0.24,0.43
gwanted.csv,0.58,0.55,0.37,0.13,0.71,0.44,0.44,0.96,0.0,0.31,0.0,0.39,0.0,0.24,0.6,0.17
ivatamasks.csv,0.53,0.64,0.23,1.0,0.51,0.63,0.5,0.27,0.22,0.73,0.03,0.59,0.91,0.55,0.42,0.44
onotoa.csv,0.45,0.82,0.26,0.77,0.81,0.99,0.45,0.34,0.48,0.79,0.02,0.78,0.45,0.67,0.56,0.53
orc.csv,0.05,0.24,0.97,0.19,0.86,0.59,0.36,0.25,0.57,0.38,0.0,0.34,0.21,0.5,0.33,0.11
plato.csv,0.22,0.82,0.12,0.64,1.0,0.75,0.57,0.3,0.66,0.0,0.02,0.81,0.61,0.66,0.46,0.78
proftp.csv,0.65,0.53,0.25,0.65,0.57,0.31,0.43,0.28,0.98,0.5,0.0,0.53,0.06,0.42,0.4,0.29
rodin-b-sharp.csv,0.67,0.39,0.24,0.59,0.33,0.39,0.98,0.21,0.12,0.25,0.0,0.49,0.01,0.3,0.11,0.25
uclmda.csv,0.65,0.76,0.15,0.67,0.51,0.64,0.51,0.25,0.1,0.79,0.05,0.65,1.0,0.46,0.32,0.56
umber.csv,1.0,0.48,0.1,0.46,0.47,0.28,0.51,0.26,0.1,0.77,0.0,0.26,0.11,0.33,0.45,0.54
unicase.csv,0.24,0.86,0.23,0.79,0.67,0.62,0.51,0.27,0.36,0.32,0.03,0.99,0.02,0.66,0.45,0.61
wpdev.csv,0.42,1.0,0.19,0.81,0.86,0.9,0.53,0.3,0.62,0.84,0.02,0.84,0.98,0.73,0.55,0.81
