,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.21,0.46,0.8,0.77,0.5,0.33,0.27,0.21,0.53,0.32,0.46,0.62,0.26
cuberok.csv,0.11,0.59,0.8,0.13,0.68,0.25,0.3,0.36,0.77,0.43,0.58,0.79,0.63
exist.csv,1.0,0.57,0.4,0.69,0.73,0.86,0.9,0.96,0.79,0.79,0.66,0.83,1.0
google-web-toolkit.csv,1.0,0.44,0.4,0.21,0.45,0.73,0.21,0.43,0.6,0.18,0.68,0.08,0.53
gwanted.csv,0.63,0.54,0.8,0.41,0.5,0.45,0.31,0.64,0.39,0.29,0.81,0.38,0.37
ivatamasks.csv,0.95,0.7,1.0,0.72,1.0,0.98,0.87,0.79,0.89,0.93,0.85,1.0,0.79
ivataopenportal.csv,0.95,0.79,1.0,0.92,1.0,0.73,0.86,0.86,0.97,1.0,0.89,1.0,1.0
jaxen.csv,0.89,0.46,1.0,0.97,0.82,0.89,0.66,0.93,0.76,0.68,0.78,0.75,0.58
rockbox.csv,0.68,0.21,0.6,0.23,0.5,0.07,0.25,0.43,0.32,0.64,0.44,0.62,0.74
rodin-b-sharp.csv,0.53,0.23,0.0,0.97,0.32,0.07,0.81,0.46,0.44,0.5,0.24,0.67,0.53
tcl.csv,0.26,1.0,0.2,0.74,0.73,1.0,0.79,0.86,0.24,0.43,0.22,0.33,0.42
umber.csv,0.84,0.91,0.8,0.95,0.68,0.47,0.96,0.71,0.89,0.96,0.75,0.88,0.95
wheat.csv,0.58,0.15,0.2,0.0,0.5,0.23,0.49,0.11,0.92,0.71,0.39,0.5,0.89
