,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.24,0.51,0.74,0.65,0.5,0.37,0.31,0.25,0.54,0.36,0.48,0.65,0.3
cuberok.csv,0.13,0.59,0.33,0.16,0.69,0.29,0.33,0.4,0.56,0.41,0.56,0.56,0.48
exist.csv,0.17,0.6,0.42,0.59,0.59,0.52,0.32,0.3,0.78,0.55,0.58,0.64,0.75
google-web-toolkit.csv,0.21,0.45,0.44,0.25,0.47,0.53,0.24,0.47,0.61,0.21,0.67,0.1,0.55
gwanted.csv,0.55,0.57,0.7,0.45,0.52,0.49,0.35,0.67,0.44,0.34,0.62,0.43,0.42
ivatamasks.csv,0.33,0.7,0.52,0.62,0.24,0.21,0.29,0.65,0.41,0.17,0.44,0.13,0.65
ivataopenportal.csv,0.48,0.64,0.52,0.09,0.0,0.73,0.34,0.39,0.56,0.3,0.53,0.0,0.0
jaxen.csv,0.5,0.49,0.98,0.52,0.23,0.34,0.48,0.51,0.63,0.66,0.6,0.33,0.57
rockbox.csv,0.7,0.25,0.63,0.27,0.51,0.09,0.28,0.45,0.36,0.59,0.47,0.61,0.74
rodin-b-sharp.csv,0.58,0.27,0.0,0.3,0.35,0.09,0.82,0.44,0.48,0.51,0.28,0.55,0.53
tcl.csv,0.26,0.09,0.24,0.71,0.23,0.0,0.6,0.49,0.28,0.39,0.26,0.35,0.43
umber.csv,0.86,0.66,0.63,0.09,0.51,0.49,0.51,0.36,0.59,0.3,0.51,0.39,0.57
wheat.csv,0.56,0.18,0.24,0.0,0.53,0.27,0.49,0.13,0.39,0.71,0.41,0.52,0.8
