,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.26,0.58,0.35,0.64,0.29,0.38,0.64,0.69,0.35,0.37,0.61
gabel.csv,0.25,0.37,0.36,0.43,0.41,0.22,0.6,0.38,0.21,0.4,0.24
javaprofiler.csv,0.41,0.69,0.47,0.51,0.15,0.29,0.74,0.7,0.47,0.55,0.72
jmoney.csv,0.79,0.75,0.42,0.46,0.22,0.1,0.52,0.43,0.19,0.54,0.14
mycila.csv,0.56,0.79,0.35,0.56,0.16,0.64,0.75,0.81,0.19,0.57,0.44
neodatis-odb.csv,0.48,0.42,0.58,0.48,0.04,0.32,0.15,0.76,0.18,0.56,0.39
servicestack.csv,0.0,0.04,0.25,0.0,0.0,0.11,0.01,0.05,0.67,0.0,0.03
sqlpower-library.csv,0.52,0.81,0.45,0.55,0.21,0.3,0.82,0.76,0.58,0.57,0.75
synecdoche.csv,0.6,0.72,0.38,0.57,0.21,0.19,0.58,0.64,0.3,0.65,0.36
tmva.csv,0.49,0.84,0.5,0.55,0.14,0.3,0.81,0.81,0.41,0.45,0.6
unicase.csv,0.53,0.77,0.46,0.45,0.21,0.36,0.8,0.8,0.39,0.5,0.71
