,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.17,0.35,0.76,0.29,0.3,0.79,0.28,0.51,0.65,0.14,0.22
gabel.csv,0.02,0.12,0.73,0.2,0.21,0.55,0.32,0.28,0.0,0.16,0.11
javaprofiler.csv,0.73,0.76,0.83,0.63,0.84,0.9,0.72,0.79,0.35,0.74,0.22
jmoney.csv,0.22,0.53,0.56,0.43,0.17,0.24,0.3,0.2,0.04,0.53,0.08
mycila.csv,0.71,0.88,0.54,0.91,0.82,0.17,0.78,0.94,0.67,1.0,0.69
neodatis-odb.csv,0.37,0.41,0.24,0.54,0.46,0.14,0.07,0.85,0.07,0.84,0.11
servicestack.csv,0.07,0.06,0.17,0.0,0.04,0.19,0.0,0.01,0.15,0.0,0.0
sqlpower-library.csv,0.9,0.24,0.64,0.97,0.65,0.71,0.98,0.65,0.33,0.98,0.33
synecdoche.csv,0.32,0.88,0.59,0.94,0.47,0.21,0.15,0.55,0.5,0.19,0.44
tmva.csv,0.78,1.0,0.87,0.51,0.93,0.98,0.32,0.97,0.98,0.21,0.86
unicase.csv,0.88,0.59,0.63,0.74,0.65,0.4,0.92,0.4,0.26,0.86,0.97
