,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.36,0.78,0.26,0.6,0.18,0.23,0.84,0.76,0.25,0.57,0.82
gabel.csv,0.75,0.85,0.27,0.53,0.27,0.15,0.81,0.71,1.0,0.56,0.73
javaprofiler.csv,0.3,0.7,0.33,0.41,0.08,0.17,0.74,0.7,0.38,0.42,0.85
jmoney.csv,0.68,0.79,0.34,0.42,0.16,0.09,0.78,0.79,0.5,0.45,0.67
mycila.csv,0.4,0.73,0.3,0.4,0.09,0.53,0.73,0.72,0.14,0.4,0.53
neodatis-odb.csv,0.42,0.67,0.56,0.41,0.02,0.33,0.78,0.71,0.4,0.41,0.83
servicestack.csv,0.0,0.5,0.37,0.0,0.0,0.11,1.0,0.87,0.63,0.0,1.0
sqlpower-library.csv,0.35,0.89,0.35,0.38,0.12,0.19,0.73,0.76,0.46,0.4,0.81
synecdoche.csv,0.52,0.69,0.31,0.4,0.12,0.18,0.89,0.73,0.23,0.69,0.56
tmva.csv,0.35,0.73,0.35,0.45,0.08,0.18,0.87,0.72,0.26,0.55,0.59
unicase.csv,0.36,0.78,0.35,0.35,0.12,0.26,0.73,0.83,0.37,0.37,0.64
