,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.82,0.65,0.9,0.43,0.39,0.79,0.55,0.63,0.77,0.74,0.57
gabel.csv,0.85,0.77,0.88,0.67,0.24,0.81,0.61,0.79,0.88,0.71,0.86
javaprofiler.csv,0.81,0.83,0.86,0.7,0.85,0.93,0.76,0.84,0.54,0.77,0.43
jmoney.csv,0.23,0.6,0.72,0.66,0.65,0.93,0.68,0.74,0.88,0.64,0.92
mycila.csv,0.71,0.89,0.79,0.92,0.82,0.26,0.82,0.94,0.98,1.0,0.94
neodatis-odb.csv,0.58,0.81,0.47,0.68,0.99,0.71,0.92,0.87,0.88,0.85,0.75
servicestack.csv,1.0,0.98,0.83,1.0,1.0,0.92,0.99,0.97,0.33,1.0,0.99
sqlpower-library.csv,0.9,0.35,0.73,0.97,0.65,0.77,0.98,0.69,0.4,0.98,0.45
synecdoche.csv,0.44,0.92,0.78,0.94,0.53,0.83,0.59,0.7,0.77,0.42,0.86
tmva.csv,0.79,1.0,0.88,0.6,0.94,0.98,0.4,0.97,0.98,0.66,0.95
unicase.csv,0.88,0.63,0.72,0.83,0.65,0.57,0.92,0.46,0.64,0.89,0.99
