,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.4,0.41,0.93,0.43,0.4
freenet.csv,0.45,0.43,0.49,0.34,0.39
mediaportal.csv,0.48,0.58,0.49,0.53,0.93
onotoa.csv,0.42,0.45,0.39,0.41,0.67
sqlpower-library.csv,0.42,0.38,0.47,0.41,0.4
