,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.65,0.62,0.25,0.98,0.38
freenet.csv,0.76,0.99,0.7,0.65,0.35
mediaportal.csv,0.73,0.52,0.76,0.47,0.85
onotoa.csv,0.6,0.72,1.0,0.56,0.28
sqlpower-library.csv,0.97,0.71,0.53,0.61,0.35
