,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.14,0.2,0.09,0.12,0.08,0.0,0.19
clamav.csv,0.38,0.1,0.15,0.29,0.03,0.36,0.31
k3b.csv,0.46,0.55,0.47,0.0,0.28,0.53,0.31
kindb.csv,0.3,0.47,0.21,0.25,0.08,0.38,0.06
pclasses.csv,0.02,0.2,0.19,0.25,0.0,0.26,0.31
re2c.csv,0.32,0.0,0.15,0.5,0.61,0.48,0.31
thrust.csv,0.59,0.22,0.0,0.38,0.67,0.59,0.12
