,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.27,0.0,0.06,0.19,0.2,0.93,0.38
clamav.csv,0.45,0.5,0.06,0.48,0.95,0.83,0.65
k3b.csv,0.45,0.67,0.53,0.98,0.55,0.94,0.82
kindb.csv,0.36,0.5,0.29,0.48,0.25,0.84,1.0
pclasses.csv,1.0,0.33,0.12,0.19,0.0,0.26,0.29
re2c.csv,0.55,1.0,0.12,0.59,0.8,0.77,0.5
thrust.csv,0.27,0.5,0.82,0.47,0.75,0.85,0.74
