,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.51,0.65,0.59,0.34,0.32,0.42,0.37,0.19,0.98,0.32,0.13,0.43,0.15,0.3,0.55,0.36,0.37,0.0
arsenal-1.csv,0.55,0.45,0.37,0.71,0.25,0.37,0.41,0.96,0.22,0.3,0.17,0.44,0.17,0.18,0.49,0.23,0.23,0.0
atomsite.csv,0.47,0.15,0.44,0.62,0.35,0.53,0.95,0.66,0.52,0.37,0.54,0.44,0.11,0.38,0.36,0.21,0.56,0.0
barracudamvc.csv,0.88,0.75,0.82,1.0,0.38,0.58,0.49,0.61,0.56,0.45,0.79,0.39,0.88,0.9,0.42,0.54,0.48,0.02
emisview.csv,0.44,0.0,0.16,0.3,0.31,0.24,0.54,0.19,0.61,0.96,0.33,0.38,0.04,0.29,0.22,0.27,0.39,0.0
findbugs.csv,0.39,0.74,0.44,0.37,0.23,0.19,0.29,0.39,0.39,0.37,0.2,0.44,0.43,0.24,0.25,0.98,0.23,0.04
jitterbit.csv,0.68,0.8,0.45,0.62,0.27,0.47,0.32,0.61,0.59,0.46,0.25,0.97,0.42,0.19,0.3,0.47,0.5,0.02
lite.csv,0.47,0.0,0.42,0.22,0.23,0.35,0.32,0.13,0.34,0.26,0.05,0.19,0.09,0.27,1.0,0.24,0.15,0.0
megasquirtavr.csv,0.88,0.9,0.7,0.79,0.79,0.58,0.49,0.65,0.57,0.46,0.69,0.41,0.96,0.92,0.49,0.53,0.51,0.02
ontopia.csv,0.82,0.9,0.8,0.83,0.36,0.56,0.47,0.56,0.42,0.4,0.79,0.24,0.96,1.0,0.32,0.53,0.48,0.02
openintents.csv,0.67,0.64,0.67,0.47,0.25,0.98,0.48,0.56,0.59,0.42,0.36,0.31,0.93,0.42,0.48,0.43,0.29,0.0
rectracker.csv,0.78,0.81,0.97,0.8,0.32,0.58,0.48,0.55,0.62,0.42,0.77,0.45,0.94,0.84,0.4,0.58,0.48,0.03
stajistics.csv,0.69,0.71,0.44,0.52,0.25,0.3,0.43,0.47,0.56,0.43,0.24,0.46,0.82,0.38,0.51,0.41,0.91,0.0
trackit.csv,0.61,0.8,0.72,0.72,0.45,0.33,0.25,0.17,0.21,0.13,0.99,0.25,0.32,0.67,0.45,0.36,0.38,0.04
wxlua.csv,0.73,0.73,0.49,0.84,0.35,0.48,0.43,0.53,0.38,0.33,0.74,0.35,0.98,0.84,0.39,0.49,0.44,0.0
x4x.csv,1.0,0.77,0.46,0.79,0.36,0.53,0.49,0.69,0.5,0.44,0.58,0.23,0.47,0.78,0.49,0.3,0.47,0.0
xharbour.csv,0.88,0.99,0.75,0.79,0.33,0.51,0.35,0.64,0.6,0.3,0.37,0.47,0.61,0.68,0.42,0.57,0.41,0.02
