,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.25,0.94,0.25,0.55,0.47,0.62,0.38,0.25,0.62,0.71,0.61,1.0,0.56
cuberok.csv,0.45,0.88,0.13,0.54,1.0,0.6,0.44,0.28,0.59,0.6,0.61,0.16,0.67
exist.csv,0.44,0.97,0.2,0.51,0.14,0.6,0.37,0.18,0.99,0.46,0.62,0.14,0.33
google-web-toolkit.csv,0.3,0.7,0.06,0.5,0.33,0.62,0.22,0.24,0.62,0.67,1.0,0.2,0.38
gwanted.csv,0.41,0.84,0.12,0.57,0.75,0.59,0.54,1.0,0.72,0.43,0.65,0.5,0.0
ivatamasks.csv,0.36,1.0,0.1,0.51,0.36,0.63,0.44,0.2,0.66,0.49,0.58,0.15,0.67
ivataopenportal.csv,0.21,0.75,0.11,0.49,0.26,0.99,0.42,0.22,0.65,0.55,0.61,0.15,0.42
jaxen.csv,0.0,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.91,0.0,0.67,0.0,0.0
rockbox.csv,0.31,0.75,0.08,0.5,0.44,0.51,0.43,0.2,0.67,0.53,0.59,0.18,0.95
rodin-b-sharp.csv,0.5,0.85,0.05,0.5,0.11,0.73,1.0,0.15,0.76,0.4,0.46,0.08,1.0
tcl.csv,0.15,0.45,0.0,1.0,0.67,0.43,0.48,0.0,0.38,0.43,0.5,0.0,0.0
umber.csv,1.0,0.86,0.14,0.49,0.45,0.58,0.43,0.22,0.54,0.5,0.65,0.09,0.0
wheat.csv,0.15,0.68,0.0,0.58,0.42,0.52,0.32,0.12,0.59,1.0,0.61,0.12,0.55
