,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.37,0.6,0.38,0.35,0.09,0.98,0.0,0.5,0.36,0.09,0.61,0.47,0.37
fontforge.csv,0.33,0.63,0.38,0.32,0.24,0.45,0.0,0.97,0.47,0.6,0.59,0.19,0.26
gmerlin.csv,0.47,0.69,0.32,0.39,0.35,0.47,0.91,0.63,0.37,0.57,0.51,0.95,0.28
hatari.csv,0.64,0.67,0.98,0.51,0.34,0.47,0.9,0.41,0.69,0.51,0.66,0.35,0.52
jcl.csv,0.12,0.12,0.28,0.24,0.11,0.13,0.0,0.1,0.0,0.35,0.88,0.23,0.28
ltp.csv,0.12,0.38,0.17,0.37,0.98,0.18,0.97,0.05,0.32,0.06,0.0,0.04,0.04
net-snmp.csv,1.0,0.48,0.38,0.49,0.34,0.49,0.87,0.42,0.42,0.51,0.31,0.66,0.47
opde.csv,0.31,0.44,0.28,0.93,0.54,0.42,0.0,0.46,0.32,0.1,0.62,0.19,0.39
powerfolder-.csv,0.2,0.95,0.04,0.19,0.09,0.17,0.0,0.29,0.26,0.18,0.62,0.04,0.17
qlc.csv,0.09,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.86,0.04,0.0,0.15,0.34
tcl.csv,0.56,0.45,0.34,0.42,0.25,0.39,0.88,0.35,0.42,0.98,0.63,0.38,0.66
wxstudio.csv,0.26,0.29,0.25,0.45,0.0,0.32,0.0,0.2,0.42,0.12,0.33,0.35,0.97
