,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.36,0.46,0.48,0.32,0.8,0.98,0.0,0.52,0.16,0.67,0.25,0.36,0.34
fontforge.csv,0.35,0.48,0.43,0.39,0.81,0.45,0.0,0.98,0.26,0.6,0.29,0.22,0.27
gmerlin.csv,0.46,0.52,0.39,0.36,0.43,0.43,0.11,0.59,0.21,0.58,0.25,0.97,0.32
hatari.csv,0.61,0.53,0.98,0.43,0.42,0.45,0.1,0.4,0.3,0.62,0.27,0.34,0.5
jcl.csv,0.18,0.15,0.3,0.29,0.17,0.15,0.0,0.15,0.0,0.4,0.92,0.28,0.32
ltp.csv,0.16,0.29,0.22,0.44,0.98,0.25,0.22,0.08,0.29,0.09,0.0,0.05,0.04
net-snmp.csv,0.99,0.42,0.43,0.41,0.42,0.49,0.08,0.43,0.22,0.52,0.11,0.53,0.48
opde.csv,0.38,0.35,0.34,0.96,0.62,0.41,0.0,0.47,0.16,0.13,0.26,0.22,0.39
powerfolder-.csv,0.29,0.97,0.06,0.24,0.12,0.19,0.0,0.33,0.22,0.23,0.24,0.06,0.17
qlc.csv,0.14,0.11,0.0,0.07,0.0,0.0,0.0,0.0,0.91,0.05,0.0,0.18,0.39
tcl.csv,0.53,0.33,0.35,0.36,0.31,0.37,0.09,0.33,0.19,0.99,0.27,0.33,0.62
wxstudio.csv,0.3,0.23,0.32,0.38,0.0,0.3,0.0,0.21,0.2,0.18,0.22,0.3,0.97
