,recall,precision,pf,pci_20,ifa,wins
abbot.csv,0.88,0.41,0.78,0.41,2.0,168
acdk.csv,0.33,0.57,0.15,0.59,1.0,607
acegisecurity.csv,0.61,0.45,0.46,0.49,2.0,419
adaptagrams.csv,0.31,0.5,0.18,0.64,1.0,583
adobe-source.csv,0.48,0.38,0.42,0.55,2.0,242
adonthell.csv,0.52,0.39,0.48,0.52,2.0,196
agilitybook.csv,0.41,0.45,0.33,0.6,2.0,467
alembik.csv,0.21,0.55,0.1,0.69,1.0,608
algebsql.csv,0.39,0.33,0.51,0.76,2.0,202
all-plasm.csv,0.33,0.44,0.26,0.75,2.0,565
alleg.csv,0.44,0.42,0.35,0.54,2.0,352
alpine.csv,0.75,0.42,0.62,0.43,2.0,249
alsa.csv,0.67,0.45,0.49,0.45,2.0,404
amanda.csv,0.59,0.47,0.46,0.52,2.0,463
amateur-scrolls.csv,0.26,0.38,0.18,0.71,2.0,471
ambulant.csv,0.59,0.39,0.55,0.56,2.0,254
amygdala.csv,0.39,0.4,0.34,0.62,1.0,386
anaxagora.csv,0.63,0.44,0.48,0.42,2.0,300
apertium.csv,0.19,0.39,0.14,0.56,2.0,266
apolloplayer.csv,0.57,0.4,0.48,0.5,2.0,255
arcallians.csv,0.7,0.43,0.59,0.48,2.0,312
archive-crawler.csv,0.33,0.49,0.21,0.72,1.0,596
ardour.csv,0.46,0.52,0.28,0.48,1.0,531
arianne.csv,0.95,0.39,0.94,0.41,2.0,57
arm-webradio.csv,0.39,0.4,0.38,0.62,2.0,315
array4j.csv,0.3,0.34,0.33,0.63,3.0,149
arsenal-1.csv,0.09,0.43,0.07,0.8,1.0,563
atlc.csv,0.66,0.39,0.62,0.52,2.0,196
atomsite.csv,0.72,0.44,0.56,0.4,2.0,284
atunes.csv,0.67,0.43,0.53,0.43,2.0,279
auber.csv,0.78,0.42,0.67,0.45,2.0,252
aubit4gl.csv,0.16,0.38,0.16,0.82,2.0,503
aufs.csv,0.39,0.38,0.34,0.65,2.0,376
autat.csv,0.39,0.49,0.24,0.61,1.0,573
autofac.csv,0.6,0.45,0.45,0.43,1.0,350
autowikibrowser.csv,0.64,0.46,0.45,0.37,1.0,335
avifile.csv,0.44,0.35,0.53,0.67,2.0,159
avisynth2.csv,0.02,0.25,0.02,0.65,3.0,63
awemud.csv,0.55,0.5,0.34,0.43,1.0,493
aztec.csv,0.41,0.5,0.24,0.58,1.0,576
azureus.csv,0.82,0.4,0.73,0.4,2.0,130
baadengine.csv,0.96,0.4,0.91,0.39,2.0,83
bacnet.csv,0.45,0.45,0.33,0.56,2.0,465
bacula.csv,0.64,0.44,0.49,0.5,2.0,414
badtrinitycore.csv,0.29,0.44,0.21,0.62,2.0,473
barracudamvc.csv,0.93,0.37,0.97,0.42,2.0,18
bdbbasic.csv,0.45,0.39,0.38,0.5,2.0,205
beast-mcmc.csv,0.69,0.46,0.51,0.44,1.0,423
benojt.csv,1.0,0.38,1.0,0.39,2.0,25
bibedt.csv,0.6,0.45,0.42,0.49,1.0,456
bibletime.csv,0.68,0.43,0.51,0.41,2.0,289
bigdata.csv,0.54,0.42,0.44,0.52,2.0,329
biodwh.csv,0.27,0.51,0.14,0.69,1.0,600
bionote.csv,0.39,0.5,0.22,0.57,1.0,570
biopax.csv,0.97,0.4,0.94,0.4,2.0,76
bl-toolkit.csv,0.72,0.38,0.74,0.46,2.0,61
blogentis.csv,0.48,0.38,0.54,0.59,2.0,152
bloodycore.csv,0.14,0.39,0.13,0.85,2.0,545
blue-c.csv,0.77,0.43,0.63,0.48,2.0,353
bnetd.csv,0.77,0.39,0.69,0.42,2.0,127
boost-sandbox.csv,0.48,0.36,0.54,0.58,2.0,114
boost.csv,0.62,0.47,0.42,0.47,2.0,479
botsnscouts.csv,0.63,0.48,0.42,0.4,1.0,437
brlcad.csv,0.29,0.46,0.19,0.71,2.0,572
bscwweasel.csv,0.29,0.44,0.21,0.72,2.0,551
buddata-ebxml-registry.csv,0.97,0.39,0.94,0.39,2.0,52
bulmages.csv,0.15,0.31,0.11,0.67,3.0,219
bwapi.csv,0.98,0.38,0.97,0.42,2.0,50
bzbyte.csv,0.52,0.19,0.53,0.37,8.0,8
