,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,91.0,6.0,0.0,69.0,0.0,4.0,23.0,54.0,132.0,3.0,0.0,2.0,0.0,91.0,3.0,118.0
fontforge.csv,1.0,0.0,1.0,0.0,2.0,3.0,51.0,0.0,7.0,0.0,1.0,6.0,0.0,5.0,18.0,4.0
glas.csv,0.0,2.0,1.0,3.0,1.0,11.0,37.0,8.0,14.0,0.0,2.0,18.0,0.0,2.0,6.0,2.0
hannosset.csv,1.0,5.0,0.0,0.0,2.0,9.0,52.0,1.0,17.0,0.0,0.0,14.0,0.0,5.0,8.0,7.0
hatari.csv,0.0,2.0,1.0,0.0,2.0,5.0,42.0,13.0,24.0,0.0,0.0,8.0,1.0,5.0,16.0,5.0
jaolt.csv,0.0,0.0,0.0,7.0,0.0,4.0,29.0,2.0,3.0,3.0,2.0,6.0,1.0,6.0,5.0,1.0
ltp.csv,0.0,1.0,0.0,0.0,2.0,9.0,52.0,1.0,6.0,0.0,2.0,7.0,1.0,3.0,19.0,4.0
mia.csv,0.0,0.0,4.0,0.0,0.0,0.0,21.0,0.0,12.0,0.0,0.0,12.0,0.0,1.0,74.0,2.0
net-snmp.csv,0.0,0.0,3.0,3.0,6.0,12.0,20.0,13.0,2.0,0.0,1.0,8.0,0.0,15.0,2.0,10.0
opde.csv,1.0,10.0,1.0,0.0,2.0,4.0,15.0,1.0,20.0,78.0,0.0,8.0,0.0,3.0,7.0,5.0
oppna-program-hsatools.csv,0.0,0.0,1.0,0.0,0.0,0.0,40.0,12.0,17.0,0.0,0.0,8.0,0.0,3.0,2.0,7.0
powerfolder-.csv,0.0,1.0,0.0,7.0,0.0,5.0,16.0,2.0,3.0,1.0,3.0,15.0,0.0,1.0,5.0,1.0
qlc.csv,91.0,3.0,64.0,1.0,0.0,1.0,10.0,54.0,0.0,1.0,0.0,12.0,1.0,1.0,4.0,8.0
quantlib.csv,1.0,1.0,0.0,69.0,2.0,11.0,52.0,1.0,5.0,0.0,1.0,15.0,1.0,91.0,74.0,5.0
tcl.csv,0.0,1.0,0.0,0.0,1.0,13.0,52.0,54.0,21.0,0.0,2.0,8.0,1.0,6.0,22.0,4.0
