,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,1.0,0.64,0.67,1.0,0.82,0.51,0.44,1.0,1.0,0.71,0.68,0.95,0.6,1.0,0.84,1.0
fontforge.csv,1.0,0.91,1.0,1.0,1.0,0.61,0.98,0.28,0.96,1.0,0.51,0.95,0.84,0.91,0.97,0.99
glas.csv,0.74,0.69,0.5,0.69,0.91,0.76,0.71,0.81,0.73,0.66,0.7,0.83,0.73,0.44,0.65,0.62
hannosset.csv,0.58,0.9,0.76,0.96,0.67,0.78,1.02,0.61,0.69,0.91,0.86,0.84,0.9,0.9,0.3,0.84
hatari.csv,0.79,0.63,0.49,0.76,0.91,0.63,0.81,0.97,0.92,0.91,0.39,0.95,0.9,0.86,0.73,0.67
jaolt.csv,0.63,0.57,0.58,0.78,0.87,0.66,0.56,0.59,0.49,0.68,0.54,0.73,0.58,0.8,0.85,0.7
ltp.csv,0.75,0.71,0.87,0.67,0.5,0.75,1.3,0.69,0.76,0.61,0.52,0.52,0.82,0.76,0.9,0.72
mia.csv,0.66,0.74,0.69,0.82,0.97,0.77,0.4,0.52,0.79,0.96,0.58,0.49,0.85,0.97,1.0,0.75
net-snmp.csv,0.44,0.64,0.55,0.78,0.8,0.78,0.38,0.97,0.81,0.83,0.88,0.51,0.64,0.74,0.89,0.9
opde.csv,1.0,0.67,1.0,0.49,1.0,0.67,0.29,1.0,0.72,1.0,0.47,0.97,0.68,0.87,0.81,0.81
oppna-program-hsatools.csv,0.68,0.51,0.63,1.0,0.7,0.53,0.77,0.94,0.85,0.95,0.18,0.99,0.59,0.66,0.53,0.84
powerfolder-.csv,0.7,0.41,0.77,0.82,0.96,0.77,0.31,0.6,0.45,0.77,0.53,0.76,0.6,0.87,0.85,0.76
qlc.csv,1.0,0.49,1.0,0.7,0.71,0.6,0.19,1.0,0.48,0.63,0.69,0.78,0.68,0.89,0.84,0.97
quantlib.csv,1.0,0.88,0.86,1.0,1.0,0.92,1.0,1.0,0.96,1.0,0.92,0.78,0.94,1.0,1.0,0.39
tcl.csv,0.83,0.89,0.83,0.95,0.73,0.75,1.23,1.0,0.71,0.45,0.76,1.0,0.91,0.92,0.86,0.81
