,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,jahshakafx.csv,jstock.csv,nassp.csv,soar.csv,xbplayer.csv,scite-ru.csv,mobicents.csv,jcache.csv,flylegacy.csv,mcmc-jags.csv,mcore3d.csv,gdis.csv,gtad.csv,liferea.csv,nova.csv,fleet-simulator.csv,japano.csv,qmcpack.csv,gnukeda.csv,powerfolder-.csv,jparsec.csv,m-m-m.csv,adonthell.csv,k3d.csv,fmri-dmt.csv,amanda.csv,jaql.csv,bzbyte.csv,,
adonthell.csv,0.42,0.56,0.43,0.24,0.62,0.08,0.91,0.68,0.52,0.58,0.47,0.47,0.55,0.56,0.78,0.72,0.24,0.25,0.85,0.7,0.75,0.79,0.45,0.68,0.71,0.49,0.45,0.26,0.26,0.32,0.19,0.97,0.51,0.23,0.81,0.33,0.68,0.45,0.7,0.39,0.84,,0.85,0.9,0.54,0.61,0.53,14,19
amanda.csv,0.46,0.37,0.47,0.31,0.59,0.74,0.09,0.71,0.52,0.5,0.47,0.47,0.55,0.56,0.78,0.4,0.2,0.27,0.85,0.41,0.23,0.47,0.54,0.44,0.73,0.5,0.45,0.56,0.26,0.69,0.69,0.05,0.26,0.23,0.85,0.87,0.36,0.61,0.42,0.39,0.84,0.56,0.77,0.18,,0.44,0.79,10,13
amygdala.csv,0.58,0.37,0.57,0.24,0.38,0.92,0.09,0.32,,0.42,0.57,0.53,0.45,0.56,0.22,0.28,0.2,0.27,0.15,0.3,0.23,0.21,0.55,0.32,0.29,0.51,0.6,0.74,0.26,0.68,0.81,0.03,0.23,0.77,0.87,0.93,0.32,0.55,0.3,0.61,0.49,0.56,0.15,0.09,0.46,0.39,0.76,7,10
bloodycore.csv,0.42,0.63,0.43,0.76,0.62,0.08,0.91,0.68,0.48,0.58,0.53,0.53,0.55,0.44,0.78,0.72,0.8,0.75,,0.7,0.77,0.79,0.45,0.68,0.71,0.49,0.55,0.26,0.74,0.32,0.19,0.97,0.77,0.77,0.13,0.07,0.68,0.45,0.7,0.61,0.16,0.44,0.85,0.91,0.54,0.61,0.24,17,24
bzbyte.csv,0.42,0.37,0.43,0.25,0.62,0.9,0.91,0.68,0.52,0.58,0.47,0.47,0.55,0.56,0.78,0.72,0.22,0.27,0.85,0.7,0.3,0.79,0.46,0.68,0.71,0.49,0.45,0.26,0.26,0.32,0.19,0.73,0.23,0.23,0.87,0.67,0.38,0.42,0.44,0.39,0.84,0.56,0.85,0.41,0.54,0.58,,12,16
etics.csv,0.58,0.68,0.55,,0.6,0.31,0.11,0.32,0.52,0.42,0.49,0.57,0.45,0.52,0.22,0.4,0.61,0.68,0.15,0.45,0.5,0.29,0.54,0.6,0.29,0.51,0.61,0.71,0.54,0.59,0.37,0.59,0.77,0.77,0.23,0.51,0.53,0.41,0.4,0.5,0.26,0.44,0.15,0.43,0.49,0.63,0.61,3,11
fleet-simulator.csv,0.42,0.42,0.43,0.49,0.62,0.22,0.91,0.68,0.52,0.58,0.44,0.47,0.55,0.56,0.78,0.72,0.35,0.3,0.85,0.7,0.5,0.79,0.45,0.68,0.71,0.49,0.45,0.26,0.26,0.32,0.19,0.97,0.49,0.23,,0.54,0.7,0.45,0.63,0.38,0.8,0.5,0.85,0.56,0.54,0.61,0.49,11,16
flylegacy.csv,0.58,0.62,0.61,0.76,0.64,0.43,0.13,0.36,0.66,0.42,0.56,0.59,0.45,0.68,0.22,0.33,0.49,0.48,0.15,0.31,0.43,0.24,0.55,0.52,0.32,0.5,0.33,,0.79,0.69,0.59,0.47,0.58,0.79,0.56,0.67,0.56,0.58,0.39,0.4,0.48,0.45,0.33,0.47,0.52,0.42,0.63,3,11
fmri-dmt.csv,0.42,0.41,0.45,0.51,0.62,0.14,0.91,0.68,0.49,0.58,0.47,0.47,0.55,0.53,0.78,0.72,0.32,0.32,0.85,0.7,0.38,0.79,0.45,0.66,0.71,0.49,0.45,0.26,0.39,0.32,0.19,0.86,0.53,0.23,0.68,0.4,0.64,0.49,0.65,0.39,0.82,0.57,0.85,,0.54,0.56,0.24,10,16
freedom-erp.csv,,0.37,0.57,0.24,0.38,0.92,0.09,0.58,0.52,0.4,0.47,0.47,0.55,0.56,0.78,0.4,0.2,0.25,0.85,0.3,0.23,0.21,0.55,0.32,0.51,0.51,0.45,0.55,0.26,0.68,0.81,0.03,0.23,0.23,0.87,0.93,0.32,0.55,0.3,0.39,0.84,0.56,0.28,0.09,0.46,0.39,0.76,8,9
