,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.57,0.5,0.64,0.37,0.35,0.95,0.23,0.37,0.35,0.18,0.45,0.34,0.49
grafx2.csv,0.72,0.68,0.7,0.69,0.36,0.68,0.66,0.62,0.94,0.78,0.56,0.68,0.58
jahshakafx.csv,0.98,0.47,0.59,0.25,0.21,0.5,0.19,0.09,0.33,0.4,0.42,0.61,0.36
kftpgrabber.csv,0.36,0.54,0.46,0.05,0.22,0.43,0.07,0.0,0.0,0.48,0.98,0.2,0.36
kindb.csv,0.75,0.73,0.67,0.64,0.52,0.73,0.63,0.71,0.67,0.98,0.69,0.63,0.63
maya-work-in-progress.csv,0.78,0.72,0.71,0.68,0.46,0.67,0.95,0.65,0.6,0.74,0.7,0.71,0.69
netatalk.csv,0.42,0.39,0.38,0.34,0.26,0.44,0.26,0.35,0.33,0.4,0.42,1.0,0.26
nullc.csv,0.62,0.0,0.0,0.0,0.98,0.43,0.23,0.36,0.37,0.24,0.0,0.0,0.36
plee-the-bear.csv,0.12,0.29,0.85,0.05,0.45,0.2,0.43,0.34,0.32,0.22,0.2,0.37,0.41
reaper-ecad.csv,0.47,0.34,0.68,1.0,0.46,0.51,0.57,0.37,0.51,0.38,0.57,0.59,0.65
unimrcp.csv,0.35,0.12,0.18,0.29,0.26,0.23,0.0,0.94,0.25,0.07,0.38,0.0,0.13
unladen-swallow.csv,0.28,0.71,0.24,0.29,0.35,0.25,0.53,0.33,0.43,0.57,0.2,0.43,0.46
xmoto.csv,0.67,0.61,0.58,0.54,0.5,0.63,0.38,0.57,0.61,0.65,0.73,0.48,0.91
