,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.62,0.7,0.69,0.63,0.49,0.54,0.91,0.44,0.48,0.79
fritzing.csv,1.01,0.6,0.4,0.57,0.61,0.62,0.9,0.79,0.64,0.53
jlinalg.csv,0.21,0.7,0.87,0.73,0.55,0.42,1.04,0.76,0.63,0.71
knowledge.csv,0.26,0.63,0.63,0.85,0.15,0.68,0.82,0.72,0.53,0.58
massiv.csv,0.86,0.74,0.69,1.0,1.0,0.03,1.0,0.47,1.0,0.81
oscarmcmaster.csv,0.56,0.48,0.43,0.48,0.35,0.58,0.9,0.56,0.69,0.59
playerstage.csv,0.6,0.54,0.5,0.33,0.44,0.62,0.9,0.44,0.61,0.54
quarkplusplus.csv,0.31,0.64,0.69,0.61,0.39,0.32,0.91,0.79,0.47,0.65
rtrt-on-gpu.csv,0.69,0.84,0.8,0.83,0.82,0.73,0.34,0.87,1.0,0.77
superwaba.csv,0.71,0.35,0.48,0.67,0.55,0.57,0.9,0.58,0.6,0.78
