,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.38,0.3,0.71,0.38,0.55,0.5,0.1,0.7,0.71,0.28
fritzing.csv,0.84,0.82,0.74,0.66,0.87,0.75,0.1,0.25,0.75,0.57
jlinalg.csv,0.8,0.32,0.69,0.76,0.48,1.0,0.1,0.95,0.42,0.57
knowledge.csv,0.78,0.88,0.79,0.84,0.85,0.75,0.2,0.65,0.62,0.68
massiv.csv,0.14,0.26,0.33,0.0,0.0,1.0,0.0,0.6,0.0,0.19
oscarmcmaster.csv,0.44,0.54,0.62,0.59,0.71,0.75,0.1,0.75,0.33,0.53
playerstage.csv,0.42,0.62,0.85,0.74,0.82,0.5,0.1,0.65,0.54,0.62
quarkplusplus.csv,0.88,0.78,0.74,0.47,0.61,1.0,0.1,0.9,0.62,0.4
rtrt-on-gpu.csv,0.32,0.62,0.28,0.53,0.44,0.5,0.8,0.15,0.08,0.49
superwaba.csv,0.3,0.72,0.61,0.34,0.48,0.5,0.1,0.75,0.42,0.26
