,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.25,0.29,0.81,1.0,0.68,0.21,0.06,0.67,0.25,0.36
flylegacy.csv,0.32,0.61,1.0,0.18,0.64,0.42,0.19,0.76,0.33,0.4
jguard.csv,0.39,0.54,0.79,0.19,0.65,1.0,0.18,0.78,0.3,0.37
m-a-d-n-e-s-s.csv,0.56,0.57,0.8,0.14,0.76,0.33,0.3,0.77,1.0,0.38
mob-sen-plat.csv,0.36,1.0,0.68,0.16,0.5,0.46,0.12,0.7,0.33,0.44
raygina.csv,1.0,0.75,0.82,0.24,0.67,0.15,0.14,0.91,0.36,0.36
st-filteredstatistics.csv,0.44,0.75,0.74,0.16,0.65,0.43,0.17,1.0,0.33,0.43
upp-mirror.csv,0.52,0.75,0.79,0.2,1.0,0.43,0.25,0.89,0.39,0.37
wishmaster.csv,0.31,0.64,0.81,0.23,0.75,0.25,0.92,0.74,0.11,0.28
yarp.csv,0.38,0.71,0.75,0.13,0.44,0.34,0.09,0.57,0.22,1.0
