,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.14,0.07,0.37,0.92,0.24,0.23,0.09,0.29,0.14,0.39
flylegacy.csv,0.26,0.54,1.0,0.62,0.55,0.37,0.53,0.58,0.56,0.53
jguard.csv,0.58,0.4,0.63,0.5,0.6,0.98,0.44,0.6,0.56,0.35
m-a-d-n-e-s-s.csv,0.41,0.28,0.29,0.34,0.45,0.52,0.47,0.47,0.93,0.14
mob-sen-plat.csv,0.55,1.0,0.42,0.46,0.36,0.68,0.32,0.47,0.62,0.5
raygina.csv,1.0,0.11,0.6,0.54,0.32,0.09,0.24,0.3,0.51,0.19
st-filteredstatistics.csv,0.65,0.21,0.46,0.5,0.27,0.52,0.48,1.0,0.53,0.28
upp-mirror.csv,0.52,0.11,0.41,0.64,1.0,0.24,0.25,0.49,0.48,0.42
wishmaster.csv,0.19,0.49,0.56,0.55,0.46,0.2,0.88,0.53,0.14,0.23
yarp.csv,0.28,0.34,0.28,0.22,0.14,0.37,0.17,0.12,0.23,0.97
