,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.45,0.63,0.31,0.61,0.27,0.64,0.45,0.5,0.18,0.0,0.8
ivatamasks.csv,0.41,0.94,0.13,0.78,0.8,0.55,0.41,0.31,0.43,0.71,0.78
java-gnome.csv,0.4,0.32,0.12,0.08,0.59,0.27,0.2,0.15,0.88,0.57,0.25
orc.csv,0.06,0.58,0.47,0.51,0.16,0.69,0.27,0.29,0.09,0.0,0.52
plato.csv,0.42,0.99,0.15,0.77,0.77,0.87,0.52,0.36,0.29,0.71,0.84
rodin-b-sharp.csv,0.69,0.56,0.39,0.37,0.21,0.63,0.8,0.22,0.87,0.0,0.43
tycho.csv,0.13,0.66,0.19,0.59,0.45,0.41,0.24,0.35,0.46,0.79,0.71
umber.csv,0.79,0.84,0.19,0.83,0.63,0.91,0.54,0.29,0.89,0.27,0.73
unicase.csv,0.71,0.9,0.2,0.74,0.41,0.84,0.57,0.37,0.77,0.46,0.81
vienna-add-in.csv,0.44,0.72,0.11,0.62,0.77,0.69,0.31,0.25,0.33,0.68,0.45
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.53,0.25,0.86,0.72,0.84
