,migen.csv,acegisecurity.csv,openxava.csv,motu.csv,irrlicht.csv,truevision.csv,zoolib.csv,emite.csv
acegisecurity.csv,0.69,0.68,0.13,0.65,0.58,0.7,0.66,0.54
emite.csv,0.14,0.34,0.71,0.57,0.26,0.57,0.37,0.7
irrlicht.csv,0.0,0.0,0.0,0.0,0.64,0.0,0.09,0.0
migen.csv,0.69,0.66,0.13,0.76,0.41,0.28,0.34,0.39
motu.csv,0.55,0.64,0.09,0.64,0.56,0.69,0.68,0.56
openxava.csv,0.51,0.18,0.82,0.18,0.4,0.67,0.44,0.27
truevision.csv,0.54,0.62,0.69,0.69,0.63,0.75,0.6,0.48
zoolib.csv,0.21,0.62,0.15,0.55,0.47,0.49,0.67,0.56
