,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,86.0,52.0,205.0,183.0,513.0,84.0,106.0,217.0,59.0,183.0,323.0,127.0,161.0,0.0
columba.csv,5.0,0.0,8.0,2.0,20.0,11.0,106.0,0.0,8.0,20.0,0.0,3.0,1.0,5.0
encog-cs.csv,3.0,6.0,0.0,0.0,2.0,4.0,15.0,0.0,33.0,47.0,4.0,13.0,0.0,14.0
fido.csv,86.0,52.0,205.0,183.0,513.0,84.0,0.0,217.0,59.0,183.0,323.0,127.0,161.0,56.0
flexpay.csv,5.0,5.0,18.0,8.0,0.0,8.0,63.0,0.0,11.0,16.0,17.0,24.0,14.0,56.0
fluent-nhibernate.csv,5.0,52.0,0.0,0.0,4.0,0.0,106.0,0.0,5.0,0.0,6.0,10.0,1.0,56.0
geochat.csv,1.0,1.0,4.0,2.0,2.0,2.0,38.0,0.0,31.0,35.0,4.0,0.0,18.0,15.0
gpsmid.csv,0.0,4.0,13.0,9.0,12.0,2.0,21.0,0.0,3.0,8.0,0.0,5.0,0.0,21.0
k3d.csv,0.0,52.0,0.0,2.0,4.0,84.0,106.0,0.0,59.0,10.0,0.0,1.0,0.0,56.0
m-a-d-n-e-s-s.csv,7.0,0.0,14.0,9.0,2.0,0.0,66.0,1.0,34.0,25.0,2.0,3.0,0.0,18.0
mob-sen-plat.csv,3.0,0.0,23.0,2.0,0.0,0.0,18.0,1.0,59.0,29.0,14.0,2.0,1.0,56.0
ninject.csv,0.0,52.0,17.0,0.0,4.0,2.0,29.0,0.0,0.0,3.0,1.0,2.0,0.0,56.0
uface.csv,2.0,3.0,53.0,2.0,2.0,4.0,9.0,1.0,13.0,49.0,3.0,5.0,0.0,12.0
v8.csv,2.0,5.0,73.0,0.0,1.0,4.0,15.0,0.0,8.0,15.0,1.0,15.0,0.0,0.0
