,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
columba.csv,0.44,0.35,0.22,0.38,0.28,0.31,0.0,0.64,0.33,0.36,0.96,0.23,0.73,0.3
encog-cs.csv,0.63,0.71,0.29,0.99,0.31,0.47,0.08,0.86,0.16,0.18,0.41,0.32,0.66,0.22
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flexpay.csv,0.32,0.41,0.12,0.24,0.95,0.16,0.03,0.48,0.12,0.19,0.39,0.32,0.33,0.0
fluent-nhibernate.csv,0.32,0.0,0.06,0.22,0.19,0.11,0.0,0.21,0.18,1.0,0.16,0.14,0.2,0.0
geochat.csv,0.3,0.2,0.22,0.51,0.27,0.19,0.02,0.39,0.08,0.08,0.4,0.98,0.63,0.25
gpsmid.csv,0.97,0.43,0.35,0.42,0.25,0.39,0.09,0.62,0.5,0.31,0.44,0.43,0.58,0.14
k3d.csv,0.08,0.0,0.95,0.14,0.12,0.0,0.0,0.08,0.0,0.13,0.08,0.11,0.18,0.0
m-a-d-n-e-s-s.csv,0.51,0.26,0.19,0.34,0.26,0.96,0.04,0.56,0.1,0.23,0.27,0.25,0.41,0.19
mob-sen-plat.csv,0.34,1.0,0.33,0.21,0.12,0.3,0.07,0.28,0.0,0.05,0.3,0.2,0.6,0.0
ninject.csv,0.47,0.0,0.04,0.23,0.2,0.13,0.08,0.19,1.0,0.36,0.37,0.16,0.18,0.0
uface.csv,0.71,0.71,0.28,0.49,0.28,0.44,0.09,0.79,0.22,0.17,0.44,0.42,1.0,0.06
v8.csv,0.75,0.76,0.25,0.41,0.32,0.46,0.11,1.0,0.33,0.3,0.53,0.41,0.7,0.07
