,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.15,1.0,0.09,0.6,0.62,0.8,0.54,1.0,0.83,0.0,0.66
ivatamasks.csv,0.52,0.99,0.15,0.99,0.7,0.83,0.38,0.25,0.92,0.77,0.78
java-gnome.csv,0.0,1.0,0.1,0.94,0.6,1.0,0.5,0.31,0.98,0.33,0.87
orc.csv,0.04,1.0,1.0,0.61,0.59,0.81,0.43,0.13,0.0,0.8,0.65
plato.csv,0.09,0.98,0.07,0.73,0.65,1.0,0.37,0.16,0.63,0.55,0.71
rodin-b-sharp.csv,0.71,0.98,0.27,0.58,0.43,0.8,1.0,0.04,0.9,0.0,0.87
tycho.csv,0.31,1.0,0.1,0.68,0.63,0.92,0.3,0.33,0.78,1.0,0.73
umber.csv,0.95,1.0,0.08,0.74,1.0,0.88,0.41,0.28,0.8,1.0,0.83
unicase.csv,0.37,0.99,0.13,0.69,0.66,0.92,0.46,0.16,0.82,1.0,0.99
vienna-add-in.csv,0.53,1.0,0.07,0.68,1.0,0.86,0.38,0.21,0.78,0.54,0.76
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.83,0.36,0.2,0.82,0.56,0.72
