,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.59,0.61,0.91,0.9,0.55,0.43,0.97,0.96,0.83,0.0,0.57
ivatamasks.csv,0.52,0.42,0.49,0.43,0.51,0.92,0.48,0.73,0.53,0.85,0.42
java-gnome.csv,0.83,0.38,0.31,0.88,0.95,0.73,0.55,0.83,0.42,0.67,0.57
orc.csv,0.49,0.89,0.94,0.96,0.41,0.48,0.87,0.97,0.0,0.9,0.49
plato.csv,0.43,0.48,0.33,0.62,0.47,0.46,0.45,0.52,0.87,0.45,0.44
rodin-b-sharp.csv,0.71,0.84,0.93,0.95,0.86,0.67,0.69,0.96,0.49,0.0,0.98
tycho.csv,0.39,0.47,0.59,0.5,0.69,0.62,0.57,0.6,0.89,0.54,0.45
umber.csv,0.6,0.54,0.6,0.45,0.92,0.59,0.46,0.6,0.38,0.5,0.7
unicase.csv,0.37,0.39,0.39,0.48,0.64,0.46,0.61,0.47,0.42,0.0,0.44
vienna-add-in.csv,0.47,0.36,0.38,0.46,0.54,0.46,0.48,0.51,0.4,0.41,0.48
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.4,0.38,0.43,0.4,0.4,0.39
