,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.91,0.7,0.94,0.94,0.79,0.86,0.84,0.0,0.91,1.0,0.88
ivatamasks.csv,0.32,0.52,0.54,0.02,0.68,0.8,0.71,0.58,0.43,0.72,0.59
java-gnome.csv,1.01,0.22,0.91,0.84,0.88,0.74,0.55,0.69,0.06,0.97,0.6
orc.csv,1.21,0.93,0.0,0.88,1.02,1.02,0.74,0.88,1.0,0.77,0.98
plato.csv,1.18,1.02,0.97,0.61,0.92,0.02,0.84,0.81,0.96,0.9,0.91
rodin-b-sharp.csv,0.48,0.79,0.75,0.9,0.97,0.81,0.04,0.98,0.37,1.0,0.91
tycho.csv,0.75,0.42,0.75,0.78,0.8,0.73,0.8,0.47,0.89,0.0,0.86
umber.csv,0.02,0.42,0.82,0.59,0.84,0.69,0.63,0.57,0.76,0.94,0.76
unicase.csv,0.57,0.51,0.66,0.8,0.73,0.5,0.55,0.78,0.7,0.97,0.03
vienna-add-in.csv,0.3,0.17,0.9,0.88,0.04,0.66,0.71,0.65,0.79,0.91,0.65
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.78,0.75,1.0,1.0
