,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.26,0.3,0.06,0.06,0.49,0.57,0.17,1.0,0.09,0.0,0.55
ivatamasks.csv,0.84,0.87,0.62,1.0,0.66,0.24,0.68,0.5,0.61,0.29,0.61
java-gnome.csv,0.0,0.78,0.88,0.16,0.14,0.26,0.56,0.32,0.98,0.03,0.43
orc.csv,0.11,0.07,1.0,0.14,0.69,0.81,0.29,0.14,0.0,0.23,0.65
plato.csv,0.26,0.79,0.62,0.58,0.84,0.98,0.84,0.71,0.33,0.89,0.86
rodin-b-sharp.csv,0.53,0.39,0.25,0.11,0.04,0.29,0.96,0.04,0.81,0.0,0.09
tycho.csv,0.95,0.58,0.38,0.76,0.27,0.29,0.37,0.61,0.12,1.0,0.86
umber.csv,1.0,0.58,0.25,0.7,0.16,0.36,0.68,0.5,0.86,0.06,0.25
unicase.csv,0.95,0.91,0.81,0.84,0.42,0.57,0.65,0.68,0.86,0.03,1.0
vienna-add-in.csv,0.95,0.83,0.5,0.88,0.96,0.57,0.68,0.75,0.75,0.83,0.62
wpdev.csv,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.96,0.98,1.0,1.0
