,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.53,0.0,0.07,0.09,0.61,0.75,0.08,0.0,0.06,0.0,0.75
ivatamasks.csv,0.27,0.5,0.39,0.02,0.59,0.25,0.63,0.3,0.19,0.11,0.44
java-gnome.csv,0.11,0.0,0.9,0.02,0.2,0.0,0.32,0.15,0.06,0.07,0.17
orc.csv,0.82,0.0,0.0,0.19,0.98,1.0,0.21,0.19,0.06,0.07,0.91
plato.csv,0.93,1.0,0.89,0.45,0.9,0.0,0.83,0.76,0.69,0.89,0.9
rodin-b-sharp.csv,0.07,0.5,0.08,0.17,0.1,0.38,0.0,0.17,0.31,0.0,0.03
tycho.csv,0.75,0.0,0.41,0.74,0.32,0.12,0.48,0.26,0.12,0.0,0.85
umber.csv,0.02,0.0,0.33,0.51,0.0,0.25,0.54,0.26,0.75,0.0,0.13
unicase.csv,0.56,0.5,0.63,0.79,0.44,0.25,0.43,0.71,0.69,0.0,0.03
vienna-add-in.csv,0.29,0.0,0.74,0.87,0.0,0.5,0.63,0.6,0.75,0.89,0.52
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.78,0.75,1.0,1.0
