,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.52,0.5,0.41,0.55,0.78,0.42,0.87,0.21,0.31,0.35,0.35,0.0,0.48
emulemorph.csv,0.3,0.29,0.35,0.11,0.56,0.0,0.0,0.24,0.68,0.0,0.07,0.0,0.11
gisgraphy.csv,0.0,0.0,0.42,0.58,0.25,0.07,0.89,0.0,0.37,0.1,0.34,0.0,0.7
jaxen.csv,0.43,0.33,0.67,0.6,0.51,0.47,0.38,0.98,0.45,0.56,0.5,0.0,0.49
jvcl.csv,0.16,0.29,0.65,0.21,0.53,0.1,0.0,0.61,0.53,0.27,0.45,0.84,0.27
m-m-m.csv,0.4,0.66,0.4,0.5,0.33,0.76,0.0,0.0,0.53,0.09,0.0,0.72,0.51
motu.csv,0.46,0.56,0.21,0.36,0.0,0.58,0.0,0.05,0.66,0.86,0.36,0.09,0.09
nh3d.csv,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.35,0.51,0.27,0.8,0.31,0.35,0.93,0.17,0.0,0.54,0.34,0.94,0.5
wgs-assembler.csv,0.5,0.53,0.41,0.61,0.65,0.05,0.69,0.64,0.51,0.68,0.15,0.0,0.45
zabbix.csv,0.56,0.0,0.67,0.58,0.52,0.4,0.0,0.43,0.53,0.58,0.48,0.0,0.45
