,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.11,0.53,0.55,0.63,0.7,0.6,0.68,0.52,0.45,0.6,0.79
bscwweasel.csv,0.02,0.09,0.61,0.59,0.58,0.46,0.37,0.55,0.34,0.59,0.65
capcode.csv,0.04,0.61,0.21,0.57,0.58,0.74,0.32,0.31,0.74,0.64,0.52
lamp.csv,0.04,0.66,0.37,0.59,0.33,0.55,0.34,0.48,0.6,0.64,0.61
nodal.csv,0.01,0.17,0.41,0.48,0.44,0.59,0.01,0.13,0.65,0.69,0.49
pydev.csv,0.6,0.17,0.45,0.64,0.72,0.61,0.24,0.53,0.54,0.72,0.7
retromenu.csv,0.07,0.54,0.41,0.29,0.84,0.37,0.24,0.18,0.44,0.32,0.26
smbopensoft.csv,0.81,0.13,0.21,0.49,0.43,0.52,0.61,0.33,0.64,0.47,0.7
stuproa-cims.csv,0.0,0.17,0.45,0.4,0.68,0.2,0.02,0.6,0.42,0.56,0.71
thout.csv,0.57,0.48,0.67,0.35,0.62,0.24,0.35,0.43,0.09,0.6,0.66
uface.csv,0.0,0.0,0.24,0.73,0.67,0.63,0.2,0.58,0.59,0.46,0.94
