,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.92,0.45,0.48,0.53,0.43,0.41,0.53,0.44,0.36,0.49,0.42
bscwweasel.csv,0.67,0.86,0.51,0.71,0.43,0.63,0.66,0.49,0.82,0.45,0.5
capcode.csv,0.75,0.44,0.48,0.51,0.48,0.57,0.88,0.97,0.39,0.44,0.56
lamp.csv,0.83,0.59,0.79,0.49,0.35,0.38,0.39,0.68,0.4,0.36,0.46
nodal.csv,0.0,0.75,0.66,0.57,0.5,0.55,0.0,0.95,0.68,0.38,0.5
pydev.csv,0.49,0.95,0.7,0.62,0.33,0.42,0.69,0.44,0.6,0.48,0.46
retromenu.csv,0.86,0.55,0.54,0.77,0.36,0.48,0.7,0.78,0.68,0.88,0.8
smbopensoft.csv,0.42,0.39,0.47,0.58,0.41,0.63,0.53,0.67,0.56,0.46,0.48
stuproa-cims.csv,0.0,0.5,0.61,0.68,0.38,0.86,0.67,0.78,0.46,0.42,0.44
thout.csv,0.31,0.48,0.56,0.86,0.4,0.36,0.4,0.35,0.33,0.37,0.46
uface.csv,0.27,0.4,0.47,0.44,0.32,0.38,0.36,0.4,0.42,0.46,0.36
