,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,1.0,1.0,0.47,1.0,1.0,1.0
bullet.csv,0.93,0.91,0.79,0.43,1.0,0.8
openintents.csv,1.0,0.26,0.98,1.0,1.0,1.0
pokenetonline.csv,1.0,0.88,1.0,0.68,1.0,0.44
tktoolkit.csv,1.0,1.0,1.0,1.0,1.0,1.0
zealos.csv,0.3,1.0,0.96,1.0,1.0,1.0
