,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,79.5,68.5,185.5,0.0,850.0,0.0,0.0,98.5,185.5,123.0,180.0,313.0,0.0,68.5
columba.csv,192.0,365.0,99.0,293.5,99.0,91.5,758.0,97.5,293.0,197.5,196.5,486.5,98.5,1243.5
encog-cs.csv,99.0,194.0,99.0,391.0,99.0,92.5,758.0,98.5,1177.5,395.5,888.0,390.0,98.5,1324.0
fido.csv,85.5,0.0,0.0,0.0,151.0,0.0,474.5,88.5,0.0,98.5,99.0,176.0,98.5,0.0
flexpay.csv,87.5,88.5,662.5,935.5,99.0,343.5,693.5,98.5,576.5,98.5,198.0,290.5,88.5,421.0
fluent-nhibernate.csv,192.0,75.5,99.0,293.5,99.0,91.5,189.0,92.5,402.5,98.5,292.0,486.5,88.5,184.5
geochat.csv,179.0,68.5,456.5,274.5,296.0,91.5,183.0,98.5,214.5,811.0,99.0,188.0,98.5,945.5
gpsmid.csv,192.0,194.0,576.0,490.0,198.0,588.0,570.0,99.0,180.0,197.5,198.0,486.5,98.5,888.5
k3d.csv,174.0,151.0,99.0,452.5,197.0,73.5,641.5,95.5,737.5,94.5,281.5,90.5,98.5,211.0
m-a-d-n-e-s-s.csv,76.5,58.5,99.0,195.0,99.0,292.0,1105.0,99.0,199.5,98.5,99.0,86.5,90.5,546.5
mob-sen-plat.csv,99.0,194.0,99.0,391.0,198.0,390.5,665.5,98.5,839.5,197.5,198.0,579.0,98.5,1415.5
ninject.csv,99.0,95.5,850.5,292.5,99.0,490.5,573.0,99.0,82.5,197.5,196.5,95.5,98.5,313.0
uface.csv,99.0,95.5,99.0,293.5,198.0,588.0,659.5,98.5,903.0,395.5,198.0,486.5,98.5,1505.0
v8.csv,192.0,157.0,653.5,490.0,198.0,588.0,281.5,99.0,1081.0,736.0,99.0,182.0,98.5,739.0
