,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.05,0.02,0.0,0.08,0.0,0.0,0.0,0.05,0.01,0.02,0.16,0.0,0.02
columba.csv,0.39,0.5,0.62,0.36,0.68,0.2,0.65,0.46,0.11,0.69,0.23,0.33,0.3,0.65
encog-cs.csv,1.0,1.0,0.99,0.31,0.4,0.37,0.97,1.0,0.98,0.99,0.97,0.96,1.0,0.9
fido.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.12,0.0,0.0,0.05,0.02,0.04,0.67,0.0
flexpay.csv,0.08,0.65,0.66,0.66,0.26,0.13,0.36,0.08,0.38,0.15,0.65,0.18,0.17,0.17
fluent-nhibernate.csv,0.32,0.15,0.13,0.14,0.3,0.22,0.21,0.0,0.13,0.19,0.11,0.23,0.19,0.06
geochat.csv,0.16,0.05,0.24,0.06,0.45,0.35,0.41,0.31,0.11,0.25,0.68,0.22,0.09,0.31
gpsmid.csv,0.24,0.85,0.9,0.9,0.5,0.62,0.51,0.69,0.29,0.14,0.5,0.99,0.31,0.56
k3d.csv,0.03,0.05,0.16,0.11,0.1,0.1,0.1,0.08,0.2,0.07,0.05,0.06,0.13,0.08
m-a-d-n-e-s-s.csv,0.0,0.0,0.14,0.21,0.2,0.17,0.17,0.08,0.09,0.27,0.13,0.05,0.09,0.29
mob-sen-plat.csv,0.76,0.2,0.7,0.92,0.78,0.73,0.92,0.69,0.47,0.63,0.75,0.64,0.59,0.9
ninject.csv,0.21,0.25,0.59,0.18,0.32,0.77,0.29,0.38,0.18,0.59,0.24,0.44,0.3,0.38
uface.csv,0.71,0.65,0.86,0.55,0.83,0.95,0.81,0.92,0.69,0.82,0.46,0.98,0.06,0.94
v8.csv,0.66,0.2,0.53,0.77,0.52,0.77,0.5,0.15,0.85,0.4,0.71,0.27,0.72,0.27
