,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,1.0,0.0,0.0,0.0,0.16,0.0,0.0,1.0,0.0,0.0,0.43,0.2,0.0,0.83
columba.csv,0.69,0.72,0.19,0.43,0.18,0.54,0.06,0.94,0.25,0.13,0.53,0.29,0.84,0.13
encog-cs.csv,0.56,0.62,0.14,0.53,0.2,0.37,0.04,0.93,0.08,0.09,0.28,0.24,0.67,0.1
fido.csv,1.0,0.0,0.0,0.0,0.62,0.0,0.25,1.0,0.0,0.31,0.72,0.0,0.73,0.0
flexpay.csv,0.81,0.55,0.11,0.33,0.26,0.27,0.05,0.98,0.09,0.19,0.35,0.36,0.87,0.18
fluent-nhibernate.csv,0.74,0.73,0.36,0.55,0.25,0.41,0.04,1.0,0.12,0.33,0.58,0.18,0.82,0.0
geochat.csv,0.57,0.0,0.19,0.36,0.17,0.28,0.02,0.94,0.25,0.14,0.29,0.39,0.81,0.2
gpsmid.csv,0.81,0.6,0.14,0.36,0.2,0.26,0.04,0.95,0.16,0.31,0.35,0.24,0.83,0.15
k3d.csv,0.86,0.67,0.47,0.32,0.15,0.5,0.0,0.96,0.0,0.08,0.5,0.5,0.82,0.0
m-a-d-n-e-s-s.csv,1.0,1.0,0.17,0.4,0.24,0.64,0.0,0.98,0.17,0.2,0.53,0.55,0.79,0.06
mob-sen-plat.csv,0.61,0.88,0.18,0.35,0.19,0.34,0.04,0.94,0.1,0.14,0.35,0.25,0.74,0.1
ninject.csv,0.75,0.64,0.17,0.42,0.2,0.3,0.06,0.96,0.33,0.11,0.33,0.23,0.76,0.05
uface.csv,0.63,0.67,0.16,0.46,0.18,0.3,0.05,0.94,0.12,0.11,0.39,0.24,0.97,0.09
v8.csv,0.52,0.5,0.15,0.33,0.15,0.28,0.04,0.99,0.06,0.12,0.29,0.28,0.64,0.0
