,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.05,0.08,0.29,0.03,0.13,0.05,0.09,0.0,0.38,0.14,0.12
google-gears.csv,0.59,0.47,0.96,0.97,0.69,0.87,0.64,0.41,0.9,0.69,0.59
grafx2.csv,0.29,0.16,0.18,0.16,0.52,0.26,0.51,0.32,0.25,0.18,0.22
kmess.csv,0.27,0.03,0.26,0.16,0.34,0.11,0.47,0.03,0.39,0.43,0.16
megameknet.csv,0.75,1.0,0.98,0.42,0.87,0.29,0.87,0.89,0.66,0.6,0.75
minig.csv,0.92,0.92,0.69,0.24,0.89,0.68,0.91,0.95,0.13,0.6,0.75
ns-3.csv,0.43,0.97,0.51,0.05,0.31,0.22,0.84,0.49,0.15,0.19,0.56
omseek.csv,0.08,0.0,0.06,0.28,0.19,0.09,0.11,0.03,0.2,0.22,0.0
quickfast.csv,0.83,0.87,0.68,0.54,0.94,0.69,0.96,0.73,0.17,0.37,0.25
sylpheed-claws.csv,1.0,1.0,0.29,0.61,1.0,0.72,0.98,0.97,1.0,0.57,1.0
xamj.csv,0.73,0.42,0.51,0.11,0.8,0.95,0.64,0.7,0.35,0.19,0.47
