,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,2.0,1.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0
google-gears.csv,0.0,2.0,3.0,1.0,54.0,2.0,0.0,0.0,1.0,0.0,9.0
grafx2.csv,1.0,1.0,0.0,1.0,35.0,2.0,0.0,0.0,2.0,2.0,1.0
kmess.csv,2.0,1.0,0.0,7.0,34.0,3.0,1.0,0.0,1.0,0.0,1.0
megameknet.csv,0.0,2.0,3.0,9.0,98.0,1.0,1.0,0.0,1.0,0.0,2.0
minig.csv,0.0,2.0,3.0,0.0,99.0,3.0,1.0,0.0,2.0,0.0,2.0
ns-3.csv,1.0,2.0,0.0,1.0,22.0,9.0,0.0,2.0,2.0,5.0,9.0
omseek.csv,1.0,80.0,2.0,3.0,3.0,6.0,0.0,0.0,1.0,6.0,0.0
quickfast.csv,0.0,2.0,0.0,10.0,92.0,9.0,1.0,0.0,1.0,5.0,1.0
sylpheed-claws.csv,0.0,2.0,0.0,0.0,98.0,1.0,1.0,0.0,1.0,3.0,2.0
xamj.csv,0.0,6.0,1.0,5.0,64.0,5.0,1.0,0.0,1.0,1.0,0.0
