,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.94,0.45,0.52,0.8,0.77,0.81,0.59,0.8,0.39,0.57,0.85
google-gears.csv,0.53,0.5,0.44,0.38,0.47,0.51,0.37,0.48,0.44,0.58,0.42
grafx2.csv,0.51,0.36,0.53,0.68,0.49,0.48,0.37,0.42,0.44,0.55,0.39
kmess.csv,0.96,0.67,0.68,0.94,0.74,0.97,0.47,0.88,0.67,0.96,0.92
megameknet.csv,0.62,0.53,0.45,0.49,0.49,0.52,0.51,0.55,0.62,0.45,0.47
minig.csv,0.47,0.58,0.77,0.48,0.5,0.53,0.52,0.56,0.93,0.46,0.64
ns-3.csv,0.45,0.54,0.34,0.89,0.68,0.46,0.42,0.53,0.94,0.6,0.43
omseek.csv,0.97,0.0,0.95,0.68,0.7,0.94,0.78,0.94,0.55,0.65,0.75
quickfast.csv,0.41,0.52,0.38,0.39,0.44,0.51,0.4,0.48,0.91,0.45,0.36
sylpheed-claws.csv,0.4,0.53,0.41,0.35,0.43,0.47,0.41,0.46,0.42,0.38,0.38
xamj.csv,0.46,0.4,0.36,0.79,0.44,0.47,0.38,0.44,0.47,0.52,0.35
