,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.92,0.61,0.59,0.94,0.59,0.64,0.72,0.83,0.47,0.52,0.82
google-gears.csv,0.76,0.59,0.96,0.98,0.72,0.88,0.66,0.5,0.9,0.76,0.64
grafx2.csv,0.67,0.34,0.69,0.69,0.65,0.48,0.66,0.64,0.54,0.48,0.44
kmess.csv,0.85,0.95,0.74,0.95,0.57,0.89,0.55,0.94,0.61,0.77,0.87
megameknet.csv,0.85,1.0,0.98,0.63,0.89,0.45,0.92,0.91,0.77,0.63,0.77
minig.csv,0.94,0.93,0.88,0.37,0.95,0.74,0.95,0.97,0.91,0.62,0.91
ns-3.csv,0.54,0.97,0.57,0.68,0.68,0.49,0.85,0.7,0.91,0.67,0.62
omseek.csv,0.82,1.0,0.87,0.71,0.41,0.82,0.78,0.86,0.61,0.57,0.91
quickfast.csv,0.83,0.87,0.71,0.59,0.94,0.71,0.97,0.77,0.85,0.51,0.33
sylpheed-claws.csv,1.0,1.0,0.43,0.63,1.0,0.73,0.98,0.97,1.0,0.6,1.0
xamj.csv,0.78,0.53,0.57,0.6,0.81,0.95,0.71,0.75,0.58,0.4,0.56
