,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv
crisscross.csv,0.51,0.37,0.49,0.85,0.16,0.57,0.55,0.12,0.03,0.74
cubefs.csv,0.47,0.37,0.3,0.52,0.06,0.52,0.68,0.74,0.05,0.73
iaml.csv,0.25,0.18,0.29,0.31,0.33,0.43,0.72,0.2,0.0,0.61
ivataopenportal.csv,0.53,0.37,0.31,0.86,0.19,0.74,0.63,0.81,0.0,0.76
mb-unit.csv,0.51,0.0,0.23,0.77,0.16,0.68,0.53,0.34,0.04,0.82
mvdsv.csv,0.07,0.26,0.0,0.12,0.8,0.02,0.11,0.16,0.0,0.3
nova.csv,0.45,0.67,0.4,0.57,0.0,0.44,0.6,0.72,0.05,0.6
openwbem.csv,0.55,0.37,0.39,0.67,0.23,0.58,0.53,0.79,0.06,0.65
xcmetadataservicestoolkit.csv,0.4,0.32,0.19,0.69,0.21,0.63,0.62,0.37,0.03,0.86
