,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.53,0.94,0.7,0.5,0.59,0.79,0.04,0.6,0.72,0.7,0.49,0.7,0.75,0.74,0.73,0.68,0.57,0.53,0.42
aubit4gl.csv,0.59,0.62,0.59,0.61,0.59,0.74,0.74,0.72,0.02,0.57,0.74,0.78,0.7,0.61,0.77,0.75,0.95,0.69,0.7
ipfilter.csv,0.9,0.91,0.71,0.77,0.79,0.97,1.0,1.26,0.7,0.83,0.6,0.73,0.76,0.86,0.81,0.7,0.0,0.68,0.67
jmol.csv,0.68,0.84,0.98,0.72,0.93,0.98,1.0,0.9,0.96,1.0,0.92,0.0,0.92,0.96,0.62,0.96,0.95,0.9,0.97
liferea.csv,0.58,0.85,1.02,0.54,0.56,0.08,0.65,0.44,0.66,0.51,0.68,0.59,0.61,0.69,0.77,0.67,0.77,0.66,0.74
miranda-icq.csv,0.8,0.87,0.71,0.9,0.66,0.54,0.68,0.44,0.77,0.6,0.73,0.57,0.88,0.69,0.75,0.02,0.52,0.69,0.84
moving-pictures.csv,0.57,0.62,0.58,0.57,0.69,0.53,0.81,0.62,0.64,0.49,0.71,0.68,0.65,0.63,0.0,0.7,0.85,0.66,0.6
opensim4opencog.csv,0.85,1.0,0.83,0.96,0.87,1.0,0.98,1.01,0.81,0.98,0.04,0.69,0.81,0.87,0.96,0.81,0.89,0.92,0.95
pclasses.csv,0.97,0.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.95
pfaedit.csv,0.71,0.91,0.75,0.55,0.64,0.8,0.6,0.38,0.6,0.02,0.62,0.64,0.74,0.69,0.75,0.63,0.65,0.52,0.44
plearn.csv,0.03,0.66,0.83,0.74,0.8,0.88,0.78,0.5,0.7,0.86,0.82,0.6,0.75,0.71,0.7,0.71,0.73,0.79,0.89
psrchive.csv,0.85,0.82,1.0,0.89,0.07,0.92,1.0,0.67,0.7,0.68,0.79,0.84,0.92,0.79,0.82,0.85,0.85,0.75,0.89
re2c.csv,0.66,0.83,0.17,0.73,0.55,0.65,0.74,0.78,0.74,0.86,0.83,0.55,0.71,0.56,0.79,0.65,0.61,0.94,0.93
rockbox.csv,0.87,0.7,0.84,0.66,0.68,0.68,0.66,0.54,0.69,0.52,0.64,0.85,0.78,0.77,0.64,0.69,0.82,0.44,0.03
theresa.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tktoolkit.csv,0.93,0.84,1.02,0.88,0.81,0.85,0.84,1.02,0.71,0.8,0.87,0.68,0.84,0.09,0.72,0.84,0.96,0.89,0.95
tzod.csv,0.67,0.74,0.71,0.04,0.71,0.91,0.7,0.62,0.84,0.46,0.57,0.81,0.77,0.95,0.86,0.67,0.75,0.61,0.95
yaprm.csv,0.73,0.95,0.74,0.85,0.9,1.02,0.93,0.67,0.88,0.92,0.92,0.89,0.08,0.97,0.8,0.77,0.78,0.83,0.87
zemljanka.csv,0.97,0.93,0.98,0.96,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,0.97,1.0,0.87,0.97,1.0,0.0,1.0
