,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.71,0.43,0.61,0.55,0.57,0.77,0.49,0.55,0.96,0.48
flexpay.csv,0.46,0.71,0.67,0.93,0.75,0.48,0.65,0.39,0.58,0.89
jstock.csv,0.79,0.43,0.6,0.91,0.83,0.95,0.77,0.6,0.94,0.48
keyczar.csv,0.96,0.77,0.98,0.71,0.53,0.95,0.95,0.6,0.59,0.47
modellus.csv,0.52,0.61,0.47,0.85,0.83,0.42,0.39,0.88,0.61,0.77
open-data-kit.csv,0.51,0.42,0.5,0.53,0.84,0.43,0.5,0.71,0.65,0.75
phet.csv,0.83,0.59,0.99,0.67,0.46,0.72,0.55,0.38,0.78,0.44
qtractor.csv,0.44,0.5,0.48,0.61,0.68,0.39,0.45,0.5,0.49,0.5
sumatrapdf.csv,0.39,0.39,0.41,0.45,0.58,0.42,0.45,0.42,0.51,0.44
synergyspace.csv,0.58,0.93,0.57,0.86,0.6,0.64,0.74,0.5,0.74,0.79
