,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.81,0.76,0.6,0.81,0.79,0.29,1.0,0.05,0.79,0.88
fritzing.csv,0.86,0.57,0.04,0.72,0.65,0.53,1.0,0.46,0.68,0.83
jlinalg.csv,0.02,0.63,0.66,0.69,0.43,0.73,1.06,0.89,0.7,0.63
knowledge.csv,1.0,1.01,0.98,0.96,0.0,0.91,0.96,0.85,0.97,0.93
massiv.csv,1.0,1.0,0.99,1.0,1.0,0.0,1.0,1.0,1.0,1.0
multitude.csv,0.42,0.5,0.47,0.6,0.35,0.51,0.68,0.54,0.56,0.03
playerstage.csv,0.72,0.52,0.53,0.02,0.57,0.57,0.8,0.72,0.6,0.81
quarkplusplus.csv,0.77,0.6,0.58,0.62,0.64,0.46,0.9,0.77,0.04,0.76
rtrt-on-gpu.csv,0.86,0.7,0.72,0.78,0.83,0.63,0.02,0.82,0.94,0.8
superwaba.csv,0.67,0.04,0.48,0.5,0.35,0.62,1.03,0.65,0.48,0.53
