,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.24,0.28,0.48,0.23,0.25,0.77,0.0,0.96,0.25,0.15
fritzing.csv,0.45,0.49,0.97,0.33,0.5,0.54,0.0,0.6,0.38,0.21
jlinalg.csv,0.98,0.48,0.65,0.65,0.78,0.58,0.2,0.38,0.6,0.63
knowledge.csv,0.0,0.05,0.13,0.17,1.0,0.33,0.17,0.47,0.13,0.27
massiv.csv,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
multitude.csv,0.64,0.6,0.67,0.65,0.73,0.7,0.51,0.71,0.54,0.98
playerstage.csv,0.33,0.61,0.55,0.98,0.51,0.53,0.24,0.34,0.47,0.24
quarkplusplus.csv,0.39,0.5,0.5,0.45,0.43,0.72,0.12,0.58,0.97,0.33
rtrt-on-gpu.csv,0.17,0.4,0.5,0.45,0.3,0.52,1.0,0.24,0.1,0.29
superwaba.csv,0.4,0.97,0.67,0.63,0.73,0.66,0.29,0.6,0.67,0.59
