,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.35,0.36,0.41,0.57,0.35,0.47,0.47,0.41,0.33,0.36,0.38,0.38,0.34,0.36,0.41,0.43,0.51,0.37,0.37,0.33
bl-toolkit.csv,0.38,0.55,0.44,0.44,0.68,0.45,0.47,0.63,0.4,0.36,0.46,0.44,0.39,0.52,0.47,0.46,0.52,0.69,0.37,0.38
capcode.csv,0.59,0.51,0.54,0.54,0.66,0.42,0.48,0.49,0.57,0.98,0.8,0.7,0.44,0.74,0.39,0.81,0.71,0.5,0.67,0.86
gebr.csv,0.4,0.38,0.44,0.44,0.37,0.47,0.41,0.36,0.35,0.36,0.47,0.39,0.35,0.34,0.37,0.44,0.51,0.35,0.37,0.34
gpac.csv,0.59,0.74,0.68,0.55,0.53,0.75,0.88,0.82,0.46,0.93,0.97,0.46,0.92,0.95,0.49,0.49,0.56,0.94,0.37,0.36
gretl.csv,0.5,0.46,0.5,0.47,0.77,0.44,0.55,0.54,0.33,0.38,0.44,0.41,0.47,0.45,0.43,0.4,0.68,0.39,0.37,0.37
kindb.csv,0.55,0.43,0.5,0.67,0.85,0.83,0.5,0.39,0.75,0.86,0.93,0.95,0.55,0.45,0.82,0.33,0.5,0.42,0.62,0.33
kowari.csv,0.52,0.66,0.64,0.5,0.36,0.89,0.61,0.41,0.67,0.89,0.85,0.52,0.81,0.5,0.64,0.42,0.67,0.63,0.67,0.57
libtorrent.csv,0.36,0.4,0.45,0.56,0.38,0.46,0.47,0.36,0.33,0.36,0.45,0.4,0.39,0.36,0.37,0.41,0.54,0.38,0.38,0.37
linuxsh.csv,0.83,0.71,0.59,0.89,0.67,0.68,0.54,0.88,0.55,0.74,0.77,0.96,0.0,0.92,0.45,0.5,0.92,0.46,0.68,0.64
lmms.csv,0.37,0.46,0.53,0.59,0.65,0.47,0.47,0.72,0.35,0.46,0.51,0.38,0.52,0.43,0.42,0.41,0.55,0.64,0.38,0.43
lufa-lib.csv,0.57,0.57,0.64,0.78,0.95,0.59,0.44,0.44,0.68,0.97,0.63,0.61,0.81,0.62,0.4,0.92,0.74,0.62,0.77,0.52
mbse.csv,0.41,0.51,0.47,0.46,0.34,0.83,0.59,0.5,0.47,0.46,0.45,0.37,0.39,0.5,0.71,0.47,0.49,0.43,0.4,0.34
mcmc-jags.csv,0.39,0.43,0.44,0.65,0.74,0.43,0.46,0.41,0.34,0.37,0.43,0.45,0.37,0.41,0.43,0.45,0.62,0.35,0.41,0.35
miranda.csv,0.53,0.48,0.78,0.69,0.5,0.75,0.57,0.46,0.92,0.98,0.0,0.88,0.59,0.37,0.92,0.44,0.97,0.45,0.99,0.38
modellus.csv,0.55,0.53,0.59,0.67,0.0,0.58,0.57,0.55,0.57,0.36,0.58,0.45,0.65,0.54,0.42,0.48,0.58,0.42,0.37,0.36
mplayer-ce.csv,0.51,0.45,0.55,0.58,0.49,0.45,0.44,0.38,0.37,0.43,0.49,0.45,0.38,0.39,0.41,0.45,0.54,0.36,0.56,0.41
nicepress.csv,0.39,0.43,0.41,0.46,0.73,0.67,0.53,0.58,0.33,0.37,0.46,0.44,0.33,0.42,0.51,0.41,0.43,0.42,0.37,0.33
sbml.csv,0.36,0.42,0.46,0.42,0.37,0.42,0.43,0.36,0.32,0.37,0.41,0.31,0.32,0.36,0.36,0.33,0.56,0.34,0.35,0.33
scite-ru.csv,0.37,0.42,0.44,0.62,0.67,0.42,0.46,0.43,0.32,0.36,0.44,0.44,0.35,0.38,0.43,0.38,0.57,0.34,0.37,0.35
