,f1,g,recall,precision,pf,wins
bibletime.csv,0.605,0.565,0.755,0.63,0.595,13
bl-toolkit.csv,0.575,0.31,0.8200000000000001,0.55,0.875,4
capcode.csv,0.49,0.445,0.685,0.52,0.66,5
gebr.csv,0.685,0.32,0.9450000000000001,0.54,0.9099999999999999,7
gpac.csv,0.33,0.32,0.3,0.575,0.385,0
gretl.csv,0.645,0.51,0.715,0.54,0.535,11
kindb.csv,0.31,0.32,0.295,0.6,0.185,2
kowari.csv,0.385,0.395,0.37,0.615,0.4,3
libtorrent.csv,0.7,0.65,0.855,0.57,0.655,18
linuxsh.csv,0.4,0.35,0.305,0.6599999999999999,0.125,8
lmms.csv,0.5449999999999999,0.59,0.63,0.615,0.355,14
lufa-lib.csv,0.505,0.4,0.45999999999999996,0.5549999999999999,0.37,6
mbse.csv,0.495,0.51,0.525,0.585,0.385,9
mcmc-jags.csv,0.71,0.575,0.84,0.65,0.6799999999999999,17
miranda.csv,0.3,0.265,0.345,0.565,0.15500000000000003,1
modellus.csv,0.59,0.575,0.595,0.77,0.235,19
mplayer-ce.csv,0.65,0.595,0.72,0.565,0.5,15
nicepress.csv,0.59,0.49,0.675,0.6000000000000001,0.615,10
sbml.csv,0.64,0.65,0.755,0.585,0.565,16
scite-ru.csv,0.665,0.515,0.83,0.53,0.625,12
