,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.57,1.0,0.83,0.6,0.63,0.6,1.15,0.01,0.64,0.98,0.51,0.61,0.61,0.8
crisscross.csv,0.91,0.93,0.1,0.79,1.13,0.9,1.07,0.89,0.7,0.87,0.77,0.83,0.91,0.89
gisgraphy.csv,0.88,0.78,0.82,0.86,1.01,0.95,1.01,0.82,0.84,0.75,1.04,0.79,1.08,0.09
glelite.csv,0.99,0.91,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.99,1.0,1.0
gnome-jabber.csv,0.87,0.51,0.85,0.84,0.82,0.89,1.16,0.87,0.5,0.4,0.76,0.72,0.87,0.85
ivataopenportal.csv,0.65,0.82,0.94,0.58,0.68,0.04,1.07,0.63,0.65,0.62,0.48,0.73,0.92,0.58
mb-unit.csv,0.84,0.77,0.59,0.07,0.65,0.83,1.2,0.82,0.78,0.77,0.71,0.54,0.77,0.98
mvdsv.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,0.99,1.0
nova.csv,0.62,0.08,0.33,0.71,1.14,0.62,1.21,0.71,0.72,0.58,0.73,0.63,0.74,0.87
olex2.csv,0.63,0.78,0.66,0.67,0.51,0.74,1.09,0.62,0.68,0.86,0.91,0.03,0.91,0.76
openwbem.csv,0.09,0.93,0.68,0.75,0.68,0.78,1.11,0.78,0.67,0.82,0.66,0.6,0.79,0.64
tencompetence.csv,0.84,0.93,0.84,0.69,1.03,0.93,0.37,0.76,0.7,0.97,1.08,0.89,0.02,0.97
xcmetadataservicestoolkit.csv,0.61,0.63,0.62,0.59,0.66,0.67,0.69,0.63,0.07,1.0,1.02,0.68,0.67,0.97
