,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.39,0.21,0.4,0.35,0.31,0.71,0.1,0.0,0.3,0.38,0.0,0.26,0.1,0.49
bdbbasic.csv,0.65,0.21,0.33,0.47,0.27,0.71,0.02,0.06,0.84,0.46,0.23,0.6,0.16,0.57
echongl.csv,0.52,0.27,0.46,0.47,0.59,0.67,0.17,0.4,0.72,0.82,0.45,0.57,0.4,0.55
etherboot.csv,0.04,0.55,0.0,0.04,0.48,0.13,0.0,0.48,0.52,0.0,0.73,0.0,0.0,0.35
ffigo.csv,0.27,0.17,0.56,0.3,0.63,0.57,0.07,0.02,0.56,0.49,0.02,0.69,0.06,0.0
freebios.csv,0.46,0.17,0.28,0.5,0.47,0.13,0.79,0.35,0.45,0.51,0.53,0.52,0.23,0.3
gebr.csv,0.41,0.0,0.53,0.5,0.54,0.44,0.0,0.71,0.17,0.0,0.61,0.52,0.42,0.13
gnukeda.csv,0.54,0.53,0.4,0.77,0.56,0.54,0.27,0.42,0.06,0.23,0.25,0.21,0.06,0.35
gstreamer.csv,0.65,0.26,0.27,0.58,0.53,0.47,0.4,0.56,0.57,0.36,0.54,0.55,0.71,0.0
jnode.csv,0.0,0.4,0.87,0.4,0.0,0.0,0.15,0.39,0.19,0.11,0.07,0.09,0.05,0.09
metacosm.csv,0.19,0.36,0.14,0.32,0.21,0.43,0.1,0.37,0.25,0.32,0.3,0.45,0.25,0.74
openmeetings.csv,0.59,0.89,0.64,0.21,0.62,0.54,0.02,0.4,0.36,0.49,0.67,0.57,0.47,0.61
pgui.csv,0.59,0.05,0.0,0.64,0.56,0.51,0.27,0.7,0.5,0.06,0.69,0.0,0.0,0.0
wxcrp.csv,0.66,0.22,0.41,0.51,0.0,0.09,0.39,0.0,0.3,0.65,0.05,0.46,0.09,0.34
