,gotjava.csv,empserver.csv,ctrlr.csv,anaxagora.csv,gmerlin.csv,ffigo.csv,skia.csv,zemljanka.csv,wikipediardware.csv
anaxagora.csv,0.92,0.0,0.86,0.95,0.0,0.9,0.86,0.89,0.0
ctrlr.csv,0.0,0.0,0.95,0.95,0.75,0.5,0.83,0.75,0.5
empserver.csv,0.53,0.53,0.59,0.51,0.6,0.43,0.41,0.83,0.5
ffigo.csv,0.8,0.4,0.67,0.58,0.48,0.47,0.4,0.64,0.48
gmerlin.csv,0.65,0.59,0.86,0.47,0.62,0.94,0.56,0.49,0.75
skia.csv,0.91,0.82,0.85,0.84,0.91,0.75,0.62,0.68,0.0
wikipediardware.csv,0.49,0.45,0.54,0.36,0.38,0.39,0.38,0.42,0.47
zemljanka.csv,0.34,0.4,0.45,0.38,0.36,0.38,0.38,0.45,0.43
