,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.36,0.53,0.35,0.37,0.53,0.52
l2j.csv,0.42,0.74,0.69,0.46,0.57,0.48
mule.csv,0.43,0.8,0.72,0.56,0.54,0.97
springside.csv,0.36,0.48,0.4,0.38,0.34,0.48
swtfox.csv,0.48,0.58,0.74,0.0,0.66,0.96
twostep.csv,0.37,0.49,0.46,0.45,0.41,0.43
