,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.29,0.12,0.04,0.32,0.54,0.3,0.83,0.12,0.15,0.75,0.19,0.62,0.49,0.05,0.0,0.51,0.18,0.21,0.75
bulmages.csv,0.29,0.34,0.0,0.3,0.46,0.12,0.4,0.22,0.29,0.58,0.36,0.62,0.03,0.08,0.0,0.24,0.14,0.55,0.0
forester-atv.csv,0.13,0.62,0.93,0.08,0.65,0.12,0.04,0.24,0.5,0.42,0.18,0.1,0.15,0.13,0.17,0.0,0.05,0.1,0.0
google-collections.csv,1.0,0.82,0.92,1.0,0.92,1.0,1.0,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hannosset.csv,0.09,0.46,0.0,0.18,0.08,0.42,0.0,0.34,0.02,0.0,0.11,0.19,0.18,0.15,0.83,0.24,0.27,0.0,0.25
jbpm.csv,0.03,0.0,0.0,0.15,0.31,0.06,0.23,0.0,0.81,0.0,0.02,0.0,0.1,0.0,0.0,0.0,0.0,0.14,0.25
mevenide.csv,0.25,0.24,0.0,0.22,0.31,0.24,0.34,0.0,0.58,0.5,0.22,0.1,0.1,0.13,0.0,0.08,0.05,0.72,0.25
nassp.csv,0.4,0.52,0.01,0.28,0.38,0.48,0.28,0.32,0.06,0.92,0.18,0.24,0.36,0.05,0.17,0.24,0.18,0.07,0.0
open-media-library.csv,0.63,0.05,0.98,0.68,0.88,0.58,0.74,0.51,0.94,0.67,0.69,0.71,0.77,0.95,0.17,0.57,0.32,0.62,0.5
opendvr.csv,0.46,0.75,0.99,0.8,0.92,0.64,0.85,0.17,0.77,0.83,0.42,0.57,0.77,0.31,0.83,0.62,0.64,0.31,0.25
openefm.csv,0.65,0.05,0.8,0.42,0.31,0.7,0.21,0.85,0.54,0.58,0.75,0.71,0.79,0.79,0.67,0.38,0.68,0.97,0.5
oppna-program-hsatools.csv,0.53,0.65,0.98,0.62,0.58,0.61,0.81,0.34,0.83,0.83,0.85,0.81,0.15,0.79,0.5,0.54,0.5,1.0,0.25
paintown.csv,0.69,0.9,0.99,0.62,0.85,0.79,0.79,0.61,1.0,0.92,0.93,0.76,0.92,0.97,0.33,0.57,0.27,1.0,0.25
projectfactory.csv,0.34,0.2,0.7,0.48,0.73,0.73,0.36,0.54,0.75,0.67,0.43,0.33,0.85,0.62,0.0,0.27,0.55,0.79,0.5
smbopensoft.csv,0.66,0.75,0.8,0.85,0.88,0.67,0.62,0.83,0.75,1.0,0.41,0.57,1.0,0.74,1.0,0.76,1.0,0.28,0.75
st-filteredstatistics.csv,0.66,0.32,0.97,0.95,0.54,0.82,0.96,0.76,0.81,0.83,0.64,0.62,0.82,0.97,0.67,0.54,0.95,1.0,0.75
thedata.csv,0.74,0.8,0.99,0.32,0.77,0.61,0.64,0.71,0.37,1.0,0.64,0.76,0.79,0.92,0.67,0.68,0.45,0.48,1.0
trackit.csv,0.32,0.11,0.01,0.12,0.27,0.33,0.21,0.66,0.02,0.08,0.3,0.14,0.54,0.15,0.67,0.41,0.27,0.03,0.5
wxstudio.csv,0.35,0.49,0.14,0.5,0.15,0.24,0.74,0.32,0.1,0.08,0.55,0.29,0.15,0.13,0.17,0.68,0.18,0.1,0.75
