,recall,precision,pf,pci_20,ifa,wins
badtrinitycore.csv,0.29,0.37,0.28,0.66,2.0,7
bulmages.csv,0.29,0.41,0.13,0.63,2.0,12
forester-atv.csv,0.13,0.38,0.13,0.88,1.0,16
google-collections.csv,1.0,0.38,1.0,0.37,1.0,1
hannosset.csv,0.18,0.29,0.13,0.86,4.0,5
jbpm.csv,0.02,0.2,0.0,0.5,9.0,0
mevenide.csv,0.22,0.5,0.06,0.79,1.0,18
nassp.csv,0.24,0.52,0.1,0.67,2.0,17
open-media-library.csv,0.67,0.49,0.5,0.45,1.0,13
opendvr.csv,0.64,0.45,0.51,0.47,1.0,11
openefm.csv,0.67,0.41,0.57,0.5,1.0,8
oppna-program-hsatools.csv,0.62,0.44,0.5,0.45,2.0,4
paintown.csv,0.79,0.38,0.74,0.42,1.0,3
projectfactory.csv,0.54,0.49,0.43,0.54,1.0,14
smbopensoft.csv,0.75,0.42,0.74,0.45,0.0,6
st-filteredstatistics.csv,0.81,0.36,0.74,0.42,1.0,2
thedata.csv,0.71,0.5,0.74,0.45,1.0,10
trackit.csv,0.27,0.33,0.28,0.82,3.0,9
wxstudio.csv,0.24,0.4,0.22,0.76,1.0,15
