,paintown.csv,google-collections.csv,smbopensoft.csv,open-media-library.csv,forester-atv.csv,openefm.csv,badtrinitycore.csv,trackit.csv,jbpm.csv,nassp.csv,oppna-program-hsatools.csv,bulmages.csv,st-filteredstatistics.csv,projectfactory.csv,hannosset.csv,wxstudio.csv,opendvr.csv,mevenide.csv,thedata.csv
badtrinitycore.csv,0.72,0.91,0.75,0.67,0.36,0.62,0.66,0.71,0.98,0.41,0.77,0.38,0.41,0.5,0.5,0.39,0.56,0.71,0.8
bulmages.csv,0.67,0.59,0.0,0.64,0.55,0.93,0.88,0.9,0.94,0.41,0.63,0.41,0.0,0.8,0.0,0.52,0.83,0.56,0.88
forester-atv.csv,0.91,0.49,0.29,0.88,0.5,0.9,0.92,0.91,0.99,0.71,0.96,0.88,0.88,0.92,0.9,0.83,0.5,0.9,0.0
google-collections.csv,0.43,0.36,0.28,0.33,0.36,0.36,0.36,0.4,0.41,0.36,0.39,0.44,0.29,0.38,0.37,0.48,0.44,0.45,0.36
hannosset.csv,0.86,0.65,0.5,0.76,0.86,0.65,0.97,0.94,0.98,0.67,0.93,0.95,0.89,0.8,0.89,0.89,0.96,0.0,0.52
jbpm.csv,0.5,0.0,0.0,0.9,0.59,0.5,0.97,0.0,0.76,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.83,0.8
mevenide.csv,0.75,0.68,0.0,0.92,0.75,0.93,0.97,0.0,0.94,0.69,0.79,0.8,0.8,0.82,0.67,0.83,0.5,0.74,0.86
nassp.csv,0.56,0.4,0.0,0.71,0.85,0.65,0.98,0.67,0.98,0.5,0.9,0.65,0.52,0.8,0.88,0.58,0.62,0.8,0.75
open-media-library.csv,0.49,0.8,0.27,0.49,0.35,0.47,0.45,0.59,0.46,0.44,0.52,0.4,0.33,0.4,0.41,0.42,0.45,0.51,0.9
opendvr.csv,0.6,0.36,0.28,0.34,0.3,0.4,0.39,0.64,0.46,0.39,0.47,0.67,0.33,0.54,0.48,0.51,0.69,0.5,0.58
openefm.csv,0.52,0.75,0.35,0.62,0.61,0.52,0.98,0.43,0.5,0.64,0.48,0.45,0.37,0.46,0.37,0.74,0.53,0.47,0.44
oppna-program-hsatools.csv,0.48,0.43,0.27,0.43,0.53,0.47,0.38,0.6,0.5,0.38,0.45,0.4,0.88,0.42,0.87,0.38,0.63,0.45,0.36
paintown.csv,0.43,0.43,0.27,0.46,0.4,0.4,0.46,0.62,0.41,0.35,0.44,0.4,0.31,0.38,0.69,0.4,0.54,0.45,0.42
projectfactory.csv,0.66,0.88,0.38,0.59,0.39,0.46,0.93,0.57,0.52,0.54,0.54,0.81,0.29,0.52,0.53,0.58,0.55,0.52,0.74
smbopensoft.csv,0.55,0.4,0.41,0.37,0.3,0.43,0.54,0.41,0.46,0.43,0.53,0.64,0.29,0.46,0.38,0.55,0.45,0.81,0.53
st-filteredstatistics.csv,0.41,0.54,0.28,0.34,0.42,0.45,0.35,0.42,0.43,0.4,0.47,0.45,0.35,0.37,0.45,0.42,0.48,0.46,0.36
thedata.csv,0.48,0.42,0.27,0.81,0.51,0.45,0.41,0.52,0.55,0.35,0.56,0.38,0.33,0.44,0.33,0.4,0.46,0.61,0.83
trackit.csv,0.8,0.89,0.0,0.94,0.93,0.75,0.98,0.54,0.98,0.86,0.82,0.95,0.44,0.94,0.41,0.81,0.73,0.0,0.83
wxstudio.csv,0.76,0.46,0.96,0.44,0.83,0.94,0.4,0.46,0.95,0.79,0.44,0.75,0.9,0.91,0.93,0.44,0.9,0.73,0.37
