,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.85,0.64,0.0,0.37,0.46,0.83,0.0,0.67,0.93,0.89,0.0,0.5
fontforge.csv,0.4,0.31,0.41,0.37,0.33,0.37,0.35,0.42,0.42,0.37,0.38,0.43,0.46
gmerlin.csv,0.0,0.3,0.38,0.37,0.0,0.32,0.36,0.0,0.39,0.0,0.0,0.42,0.35
hatari.csv,0.44,0.4,0.63,0.43,0.36,0.41,0.43,0.28,0.44,0.34,0.39,0.71,0.58
jcl.csv,0.45,0.46,0.48,0.49,0.4,0.42,0.44,0.36,0.48,0.39,0.49,0.52,0.47
ltp.csv,0.96,0.37,0.46,0.48,0.48,0.43,0.44,0.33,0.59,0.57,0.55,0.96,0.7
net-snmp.csv,0.49,0.57,0.48,0.36,0.57,0.71,0.59,0.28,0.38,0.45,0.53,0.82,0.39
opde.csv,0.4,0.57,0.42,0.62,0.43,0.47,0.52,0.31,0.45,0.0,0.48,0.41,0.52
powerfolder-.csv,0.36,0.48,0.44,0.36,0.52,0.68,0.47,0.5,0.42,0.49,0.38,0.36,0.5
qlc.csv,0.0,0.3,0.0,0.39,0.65,0.44,0.45,0.0,0.41,0.32,0.44,0.0,0.36
tcl.csv,0.52,0.36,0.53,0.38,0.52,0.49,0.43,0.0,0.63,0.47,0.0,0.96,0.71
wxstudio.csv,0.56,0.6,0.64,0.6,0.65,0.57,0.53,0.34,0.77,0.44,0.75,0.47,0.49
