,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.33,0.99,0.89,0.88,0.68,0.72,0.74,0.72,0.83,0.55,0.68,0.39,0.75
bdbbasic.csv,0.12,0.6,0.7,0.79,0.95,0.53,0.68,0.36,0.8,0.43,0.63,0.45,0.65
foursquared.csv,0.0,0.41,0.44,0.92,0.26,0.11,0.03,0.04,0.38,0.13,0.26,0.16,0.1
impala.csv,0.85,0.45,1.0,0.54,0.47,0.8,0.61,0.96,0.73,0.36,0.63,0.47,0.9
jicarilla.csv,1.0,0.05,0.04,0.0,0.0,0.08,0.16,0.04,0.05,0.06,0.05,0.21,0.1
ng4j.csv,0.15,0.62,0.63,0.71,0.58,0.51,0.41,0.08,0.7,0.43,0.53,0.58,0.95
open-data-kit.csv,0.06,0.05,0.89,0.92,0.26,0.99,0.51,0.4,0.69,0.45,0.58,0.29,0.6
pentahoanalysistool.csv,0.39,0.2,0.96,0.46,0.16,0.24,0.21,0.08,0.52,0.13,0.26,0.05,0.25
tradelink.csv,0.27,0.4,0.04,0.08,0.11,0.07,0.05,0.0,0.08,0.23,0.74,0.68,0.15
turbotrader-bos.csv,0.06,0.78,0.59,0.25,0.58,0.22,0.2,0.08,0.96,0.23,0.68,0.37,0.55
ultimairis.csv,0.18,0.42,0.78,0.58,0.68,0.55,0.36,0.44,0.58,0.89,0.74,0.26,0.4
wikipediardware.csv,0.67,0.84,0.89,0.88,0.95,0.76,0.85,0.92,0.94,0.81,0.74,1.0,0.65
yafdotnet.csv,0.03,0.92,0.33,0.54,0.16,0.32,0.95,0.28,0.6,0.62,0.63,0.74,0.3
