,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.73,0.85,0.0,0.63,0.9,0.62,1.01,0.8,0.83,0.88,0.8
arsenal-1.csv,0.78,0.19,1.0,1.0,0.84,0.91,0.91,0.86,0.94,0.98,1.0
barracudamvc.csv,0.01,0.94,0.97,0.98,0.86,0.97,0.98,0.81,0.97,0.67,0.97
cascading.csv,0.66,0.64,0.58,0.66,0.85,0.84,0.66,0.67,0.0,0.79,0.63
emisview.csv,0.79,1.0,0.52,0.04,0.9,0.88,0.91,0.85,0.74,0.89,0.92
jitterbit.csv,0.79,0.67,0.6,0.65,0.88,0.06,0.98,0.86,0.76,0.91,0.62
jppf-project.csv,0.85,0.94,0.79,0.93,0.67,0.89,0.93,0.0,1.0,0.8,0.93
mevenide.csv,0.78,0.85,0.64,0.88,0.69,0.57,0.7,0.83,0.84,0.8,0.03
mycila.csv,0.69,0.74,0.62,0.85,0.77,0.87,0.02,0.79,0.66,0.79,0.93
ontopia.csv,0.9,0.86,0.86,0.73,0.83,0.96,0.44,0.8,0.84,0.08,0.88
trackit.csv,0.87,0.79,0.97,0.9,0.09,0.92,0.65,0.75,0.76,0.58,0.73
