,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.35,0.18,1.0,0.44,0.12,0.44,0.0,0.25,0.21,0.27,0.25
arsenal-1.csv,0.3,0.84,0.0,0.0,0.2,0.12,0.23,0.33,0.07,0.04,0.0
barracudamvc.csv,0.99,0.24,0.13,0.09,0.45,0.17,0.09,0.51,0.13,0.58,0.23
cascading.csv,0.4,0.42,0.49,0.5,0.3,0.23,0.51,0.48,1.0,0.37,0.51
emisview.csv,0.25,0.0,0.55,0.97,0.12,0.15,0.12,0.27,0.35,0.16,0.12
jitterbit.csv,0.49,0.5,0.49,0.43,0.15,0.95,0.22,0.18,0.31,0.11,0.64
jppf-project.csv,0.45,0.24,0.54,0.31,0.56,0.43,0.27,1.0,0.0,0.52,0.27
mevenide.csv,0.51,0.25,0.55,0.43,0.48,0.65,0.56,0.49,0.2,0.48,0.98
mycila.csv,0.44,0.45,0.49,0.25,0.5,0.2,1.0,0.25,0.46,0.45,0.12
ontopia.csv,0.41,0.45,0.26,0.58,0.5,0.37,0.63,0.52,0.47,0.96,0.44
trackit.csv,0.4,0.36,0.06,0.16,0.94,0.34,0.44,0.33,0.32,0.56,0.48
