,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.25,0.06,0.0,0.15,0.04,0.11,0.14,0.12,0.12,0.43,0.07
arsenal-1.csv,0.25,0.0,0.0,0.0,0.13,0.11,0.43,0.5,0.06,0.07,0.05
barracudamvc.csv,0.0,0.94,0.97,0.98,0.83,0.96,0.98,0.75,0.97,0.57,0.94
cascading.csv,0.1,0.13,0.19,0.4,0.43,0.23,0.43,0.38,0.0,0.43,0.36
emisview.csv,0.05,0.0,0.13,0.0,0.04,0.08,0.1,0.38,0.27,0.21,0.23
jitterbit.csv,0.65,0.42,0.26,0.23,0.09,0.01,0.57,0.12,0.21,0.07,0.56
jppf-project.csv,0.85,0.94,0.74,0.91,0.52,0.78,0.93,0.0,1.0,0.71,0.93
mevenide.csv,0.65,0.35,0.45,0.83,0.43,0.48,0.57,0.75,0.15,0.64,0.0
mycila.csv,0.35,0.48,0.29,0.32,0.61,0.27,0.02,0.0,0.33,0.57,0.26
ontopia.csv,0.85,0.74,0.39,0.66,0.83,0.76,0.19,0.75,0.73,0.07,0.81
trackit.csv,0.65,0.42,0.16,0.23,0.04,0.63,0.24,0.25,0.24,0.36,0.51
